building_id,resident_population
guatemala_7,40.7937
guatemala_8,18.1084
guatemala_9,26.2972
guatemala_10,67.8549
guatemala_53,0.8980
guatemala_54,10.3992
guatemala_55,2.6581
guatemala_105,17.0440
guatemala_106,2.6980
guatemala_107,4.8523
guatemala_108,5.8684
guatemala_109,5.1953
guatemala_110,11.0420
guatemala_761,8.8915
guatemala_176,5.1717
guatemala_177,11.4101
guatemala_178,12.7244
guatemala_179,15.3114
guatemala_183,3.0748
guatemala_184,9.4684
guatemala_185,12.9821
guatemala_186,17.1311
guatemala_187,17.8832
guatemala_188,27.0776
guatemala_191,6.3103
guatemala_192,5.0616
guatemala_193,2.8500
guatemala_846,3.5910
guatemala_194,4.5226
guatemala_195,11.5814
guatemala_196,7.1523
guatemala_302,66.3584
guatemala_303,3.5326
guatemala_304,5.6832
guatemala_305,9.2036
guatemala_306,5.2559
guatemala_307,18.0396
guatemala_500,40.8898
guatemala_501,7.5617
guatemala_502,10.3242
guatemala_762,3.3413
guatemala_503,6.5503
guatemala_504,8.1275
guatemala_505,3.4698
guatemala_506,7.7957
guatemala_507,3.9228
guatemala_508,3.6350
guatemala_509,2.7528
guatemala_510,2.9510
guatemala_511,4.8244
guatemala_512,4.6768
guatemala_513,4.5951
guatemala_514,3.0524
guatemala_515,1.3066
guatemala_847,1.5696
guatemala_516,6.2815
guatemala_517,41.1387
guatemala_518,16.6746
guatemala_519,2.4239
guatemala_521,3.3455
guatemala_522,14.6893
guatemala_523,3.2905
guatemala_524,3.7695
guatemala_525,1.4648
guatemala_697,32.7854
guatemala_698,11.0164
guatemala_699,12.2830
guatemala_700,2.5225
guatemala_310,1.9334
guatemala_702,44.5185
guatemala_703,5.6695
guatemala_704,6.1673
guatemala_705,6.5281
guatemala_706,6.4496
guatemala_746,4.7264
guatemala_747,4.1888
guatemala_748,1.3326
guatemala_749,10.1652
guatemala_751,18.6028
guatemala_752,1.8422
guatemala_753,3.1589
guatemala_754,43.8968
guatemala_757,3.7748
guatemala_1305,1.7019
guatemala_758,7.1117
guatemala_759,7.2170
guatemala_760,15.4389
guatemala_766,13.2401
guatemala_767,5.2075
guatemala_768,5.1677
guatemala_769,8.2896
guatemala_771,11.0064
guatemala_772,13.8639
guatemala_842,4.5412
guatemala_843,6.1272
guatemala_844,4.8278
guatemala_845,13.3749
guatemala_520,1.4542
guatemala_914,8.6323
guatemala_915,11.9590
guatemala_916,15.9194
guatemala_918,8.5756
guatemala_919,3.2105
guatemala_1267,4.2903
guatemala_1268,9.0218
guatemala_1269,4.1515
guatemala_1271,11.0339
guatemala_1272,2.8401
guatemala_1297,2.2652
guatemala_1300,0.9547
guatemala_1302,1.5858
guatemala_1303,4.9152
guatemala_1405,27.4279
guatemala_1406,13.1333
guatemala_1408,20.3028
guatemala_1409,5.5706
guatemala_1410,14.7816
guatemala_1411,11.0472
guatemala_1412,5.0560
guatemala_1413,5.1290
guatemala_1414,7.2413
guatemala_1426,6.0332
guatemala_1428,10.0631
guatemala_1429,7.0842
guatemala_1430,3.2674
guatemala_763,1.2111
guatemala_1431,1.8969
guatemala_1542,6.8146
guatemala_1543,7.6263
guatemala_1544,3.5247
guatemala_1545,11.8716
guatemala_1546,10.3504
guatemala_1549,7.2327
guatemala_1551,2.1484
guatemala_1552,4.3677
guatemala_1553,1.6699
guatemala_1554,8.0900
guatemala_1556,7.9033
guatemala_1557,17.5163
guatemala_1558,17.3345
guatemala_1559,4.0739
guatemala_2593,9.2348
guatemala_2594,1.3984
guatemala_2595,6.6160
guatemala_2596,1.1423
guatemala_2597,5.6526
guatemala_2598,19.6049
guatemala_2599,8.2744
guatemala_2689,12.1361
guatemala_2690,13.4589
guatemala_2691,32.7645
guatemala_2693,21.8970
guatemala_2694,19.2884
guatemala_2695,27.7368
guatemala_2696,14.9225
guatemala_2697,38.2766
guatemala_2698,5.9679
guatemala_2699,15.5002
guatemala_2700,3.2897
guatemala_2701,3.4703
guatemala_2702,5.5067
guatemala_2703,2.1774
guatemala_2704,20.5904
guatemala_2705,13.7380
guatemala_2706,4.3281
guatemala_2708,6.7390
guatemala_2711,26.6336
guatemala_2712,3.6036
guatemala_701,2.7074
guatemala_2720,13.5737
guatemala_2728,11.1543
guatemala_2729,7.7610
guatemala_2730,40.4986
guatemala_2731,18.6097
guatemala_2734,3.1586
guatemala_2736,11.5819
guatemala_2738,4.0559
guatemala_2741,8.7531
guatemala_2742,3.2802
guatemala_2745,7.0931
guatemala_2746,4.3876
guatemala_2747,3.9747
guatemala_2748,3.6677
guatemala_2749,11.3767
guatemala_2750,10.5531
guatemala_2751,8.7444
guatemala_2752,16.5237
guatemala_2753,3.4608
guatemala_2755,1.1684
guatemala_2757,3.5092
guatemala_2758,9.8852
guatemala_2759,9.4967
guatemala_2761,3.7616
guatemala_2762,3.4595
guatemala_2763,3.8315
guatemala_764,2.5187
guatemala_2764,6.8482
guatemala_2765,1.6594
guatemala_2767,6.8564
guatemala_2768,3.0756
guatemala_2769,3.6129
guatemala_2770,6.6470
guatemala_2771,7.0490
guatemala_2772,28.8683
guatemala_2773,3.5206
guatemala_2774,5.0654
guatemala_2775,1.7138
guatemala_2776,7.2184
guatemala_2777,19.2753
guatemala_2778,7.1301
guatemala_2779,10.7438
guatemala_2780,15.2709
guatemala_2781,3.8584
guatemala_2782,3.7927
guatemala_2785,9.4631
guatemala_2786,19.3265
guatemala_2787,10.6339
guatemala_2788,2.8381
guatemala_2789,2.7087
guatemala_2790,3.0025
guatemala_2791,6.0660
guatemala_2850,5.4943
guatemala_2792,2.7707
guatemala_2793,6.4669
guatemala_2794,5.0368
guatemala_2885,11.5551
guatemala_2795,5.7063
guatemala_2796,23.6413
guatemala_2797,8.1372
guatemala_2798,3.1013
guatemala_2800,3.3352
guatemala_2801,13.9042
guatemala_2803,6.2081
guatemala_2804,6.2602
guatemala_2805,12.7079
guatemala_2806,3.2438
guatemala_2807,4.1934
guatemala_2808,4.5172
guatemala_2809,2.1974
guatemala_2810,2.4206
guatemala_2811,2.5197
guatemala_2812,4.4168
guatemala_2813,4.4464
guatemala_2814,2.9160
guatemala_2815,0.9869
guatemala_2816,5.6257
guatemala_2818,34.3620
guatemala_2819,1.0088
guatemala_2820,36.7775
guatemala_2821,55.6206
guatemala_2851,2.8089
guatemala_2822,9.1395
guatemala_2824,11.1869
guatemala_2825,9.1766
guatemala_2826,3.7856
guatemala_2827,5.8868
guatemala_2889,3.3332
guatemala_2829,9.2835
guatemala_2830,8.8948
guatemala_2832,17.4659
guatemala_2833,4.8419
guatemala_2834,5.3571
guatemala_2835,3.8257
guatemala_2836,3.3448
guatemala_2837,1.6902
guatemala_2838,3.3163
guatemala_2839,1.7972
guatemala_2840,14.7918
guatemala_2841,12.4184
guatemala_2842,3.0311
guatemala_2843,8.6083
guatemala_2844,6.4862
guatemala_2845,5.7096
guatemala_2846,24.2846
guatemala_2847,10.7155
guatemala_2848,15.9048
guatemala_2849,6.0824
guatemala_2853,2.6923
guatemala_2854,5.2501
guatemala_2855,6.8375
guatemala_2856,10.0371
guatemala_750,2.7145
guatemala_2858,10.3174
guatemala_2859,7.0772
guatemala_2860,38.5470
guatemala_2863,6.0987
guatemala_2864,3.6117
guatemala_2865,11.1715
guatemala_2867,3.5713
guatemala_2869,30.6801
guatemala_2871,10.1302
guatemala_2872,2.1139
guatemala_2874,9.1767
guatemala_2875,2.7960
guatemala_2876,4.7927
guatemala_2877,10.2416
guatemala_2878,2.4584
guatemala_2879,6.7118
guatemala_2883,7.8652
guatemala_2884,3.5460
guatemala_2886,5.0658
guatemala_2887,3.5890
guatemala_2888,4.1939
guatemala_2890,6.9593
guatemala_2892,3.5101
guatemala_2893,2.4241
guatemala_2894,2.1673
guatemala_2895,2.0591
guatemala_2896,1.8265
guatemala_755,1.6661
guatemala_2898,1.5053
guatemala_3049,10.6399
guatemala_3239,1.6470
guatemala_3240,2.3325
guatemala_3241,1.7448
guatemala_12787,1.2861
guatemala_12789,0.9489
guatemala_12843,0.7053
guatemala_12849,1.4588
guatemala_12850,2.2102
guatemala_12851,6.2728
guatemala_12852,0.7788
guatemala_756,1.4776
guatemala_12916,9.5416
guatemala_12918,1.0723
guatemala_12952,12.6936
guatemala_12953,10.0056
guatemala_12995,0.6459
guatemala_12998,0.2429
guatemala_48,11.7977
guatemala_180,8.7117
guatemala_181,7.6556
guatemala_189,4.3382
guatemala_190,8.1890
guatemala_197,5.2917
guatemala_309,5.3187
guatemala_765,3.6708
guatemala_770,5.3002
guatemala_913,8.0941
guatemala_920,2.6891
guatemala_1296,2.2358
guatemala_1298,1.3111
guatemala_1301,7.4322
guatemala_1306,0.7609
guatemala_1407,5.7976
guatemala_1427,5.2564
guatemala_1547,2.4177
guatemala_1548,4.2381
guatemala_1550,3.4985
guatemala_1555,2.0563
guatemala_2589,5.2741
guatemala_2590,3.7022
guatemala_2591,4.5774
guatemala_2600,1.5193
guatemala_2602,1.7263
guatemala_2604,5.2336
guatemala_2605,3.8614
guatemala_2606,15.4765
guatemala_2607,4.6937
guatemala_2692,2.7029
guatemala_2709,2.9699
guatemala_2710,10.5343
guatemala_2713,6.9963
guatemala_2714,9.6204
guatemala_2715,1.7972
guatemala_2716,4.9237
guatemala_2717,9.3305
guatemala_2718,15.4926
guatemala_2721,4.1109
guatemala_2722,10.0118
guatemala_2723,4.8374
guatemala_2724,3.9902
guatemala_2725,0.8690
guatemala_2727,3.0832
guatemala_2732,2.2962
guatemala_2733,2.6505
guatemala_2735,2.8232
guatemala_2737,0.9523
guatemala_2739,10.8051
guatemala_2743,6.9691
guatemala_2754,1.2537
guatemala_2756,3.8794
guatemala_2760,1.7376
guatemala_2784,7.7367
guatemala_2802,36.3418
guatemala_2817,2.3725
guatemala_2823,28.0544
guatemala_2852,0.9683
guatemala_2857,3.6151
guatemala_2862,1.9601
guatemala_2866,1.1003
guatemala_2873,3.4350
guatemala_2880,3.1130
guatemala_2881,4.2068
guatemala_2882,2.3712
guatemala_2891,3.7746
guatemala_2897,0.6683
guatemala_12745,1.4011
guatemala_12746,3.5139
guatemala_12782,9.8589
guatemala_12783,5.1438
guatemala_12784,10.2584
guatemala_12785,24.4785
guatemala_12786,24.1623
guatemala_12788,1.2844
guatemala_12846,2.5921
guatemala_12847,1.1740
guatemala_12848,1.3624
guatemala_12856,4.1609
guatemala_12915,2.6860
guatemala_12919,4.2923
guatemala_12951,2.7185
guatemala_12956,2.4484
guatemala_12987,1.7150
guatemala_12997,1.3985
guatemala_1000003,1.1204
guatemala_1000002,0.6949
guatemala_1000004,0.7758
guatemala_1000005,0.7034
guatemala_1000012,1.5286
guatemala_1000007,1.0581
guatemala_1000008,0.3605
guatemala_1000009,0.5113
guatemala_1000011,1.9112
guatemala_182,2.6714
guatemala_1000013,3.0237
guatemala_1000016,3.2620
guatemala_1000019,1.4316
guatemala_1000015,1.0072
guatemala_2861,5.9519
guatemala_1000023,1.9599
guatemala_1000020,1.2313
guatemala_1000021,2.8540
guatemala_1000024,2.7950
guatemala_1000001,2.6308
guatemala_1000017,6.0882
