building_id,resident_population
lomas_centinela_0,2.0075
lomas_centinela_1,9.0647
lomas_centinela_2,2.8745
lomas_centinela_3,2.3558
lomas_centinela_4,4.1540
lomas_centinela_5,0.9123
lomas_centinela_6,1.7989
lomas_centinela_7,1.7527
lomas_centinela_8,6.1284
lomas_centinela_9,0.2653
lomas_centinela_10,1.2679
lomas_centinela_11,1.8820
lomas_centinela_12,3.3001
lomas_centinela_13,3.7717
lomas_centinela_14,0.6508
lomas_centinela_15,2.6448
lomas_centinela_16,0.6703
lomas_centinela_17,3.3925
lomas_centinela_18,1.6326
lomas_centinela_19,1.7455
lomas_centinela_20,2.9833
lomas_centinela_21,3.4380
lomas_centinela_22,3.0339
lomas_centinela_23,0.3372
lomas_centinela_24,0.7997
lomas_centinela_25,1.8668
lomas_centinela_26,5.7181
lomas_centinela_27,0.4490
lomas_centinela_28,4.2996
lomas_centinela_29,1.4366
lomas_centinela_30,1.4118
lomas_centinela_31,0.6964
lomas_centinela_32,0.6761
lomas_centinela_33,0.4831
lomas_centinela_34,4.7955
lomas_centinela_35,2.7235
lomas_centinela_36,7.3198
lomas_centinela_37,6.3719
lomas_centinela_38,0.7417
lomas_centinela_39,0.9099
lomas_centinela_40,1.8899
lomas_centinela_41,1.1406
lomas_centinela_42,5.1317
lomas_centinela_43,1.3768
lomas_centinela_44,0.6958
lomas_centinela_45,1.4741
lomas_centinela_46,0.2675
lomas_centinela_47,1.5041
lomas_centinela_48,1.2631
lomas_centinela_49,0.4527
lomas_centinela_50,2.3597
lomas_centinela_51,3.1970
lomas_centinela_52,1.6927
lomas_centinela_53,2.6255
lomas_centinela_54,2.5493
lomas_centinela_55,4.3644
lomas_centinela_56,4.7399
lomas_centinela_57,7.0120
lomas_centinela_58,2.7780
lomas_centinela_59,1.7523
lomas_centinela_60,3.8692
lomas_centinela_61,0.6352
lomas_centinela_62,0.7685
lomas_centinela_63,2.4597
lomas_centinela_64,0.6613
lomas_centinela_65,1.6450
lomas_centinela_66,0.7599
lomas_centinela_67,3.0705
lomas_centinela_68,1.4786
lomas_centinela_69,3.0582
lomas_centinela_70,1.2144
lomas_centinela_71,0.7796
lomas_centinela_72,3.5641
lomas_centinela_73,7.0560
lomas_centinela_74,1.9092
lomas_centinela_75,2.0386
lomas_centinela_76,0.5467
lomas_centinela_77,0.6375
lomas_centinela_78,0.5022
lomas_centinela_79,4.5454
lomas_centinela_80,0.7269
lomas_centinela_81,1.9992
lomas_centinela_82,3.1544
lomas_centinela_83,0.7101
lomas_centinela_84,2.3579
lomas_centinela_85,1.0268
lomas_centinela_86,1.2407
lomas_centinela_87,0.4871
lomas_centinela_88,2.3863
lomas_centinela_89,2.3554
lomas_centinela_90,0.9254
lomas_centinela_91,3.1425
lomas_centinela_92,2.5106
lomas_centinela_93,10.2272
lomas_centinela_94,5.0975
lomas_centinela_95,2.9818
lomas_centinela_96,1.7526
lomas_centinela_97,3.4103
lomas_centinela_98,2.6655
lomas_centinela_99,1.7579
lomas_centinela_100,0.7806
lomas_centinela_101,0.8035
lomas_centinela_102,5.4325
lomas_centinela_103,1.3793
lomas_centinela_104,1.7516
lomas_centinela_105,0.9844
lomas_centinela_106,2.1851
lomas_centinela_107,1.5375
lomas_centinela_108,1.4814
lomas_centinela_109,1.0449
lomas_centinela_110,0.3945
lomas_centinela_111,1.2072
lomas_centinela_112,7.9853
lomas_centinela_113,2.1373
lomas_centinela_114,0.9811
lomas_centinela_115,3.6191
lomas_centinela_116,0.8359
lomas_centinela_117,0.8596
lomas_centinela_118,2.3558
lomas_centinela_119,8.5714
lomas_centinela_120,0.5808
lomas_centinela_121,0.7462
lomas_centinela_122,1.9921
lomas_centinela_123,3.3975
lomas_centinela_124,2.1134
lomas_centinela_125,5.8002
lomas_centinela_126,0.6949
lomas_centinela_127,2.1069
lomas_centinela_128,2.9565
lomas_centinela_129,1.2142
lomas_centinela_130,1.4341
lomas_centinela_131,2.2971
lomas_centinela_132,2.3829
lomas_centinela_133,2.4618
lomas_centinela_134,0.9301
lomas_centinela_135,1.9237
lomas_centinela_136,0.6658
lomas_centinela_137,8.4310
lomas_centinela_138,2.0107
lomas_centinela_139,4.8613
lomas_centinela_140,1.1705
lomas_centinela_141,4.1349
lomas_centinela_142,2.8334
lomas_centinela_143,5.6363
lomas_centinela_144,1.8987
lomas_centinela_145,0.7621
lomas_centinela_146,1.5590
