building_id,resident_population
san_jose_1000009,0.4806
san_jose_1219,1.3042
san_jose_1000010,0.2445
san_jose_1221,2.9580
san_jose_1222,2.7359
san_jose_1223,0.4503
san_jose_1000011,0.2993
san_jose_1225,1.9370
san_jose_1226,1.3505
san_jose_1227,3.0594
san_jose_1000012,1.5214
san_jose_1229,2.3270
san_jose_1230,2.3898
san_jose_1000013,0.4373
san_jose_1232,1.7364
san_jose_1233,1.3132
san_jose_1234,0.4421
san_jose_1235,0.4884
san_jose_1236,0.4719
san_jose_1000014,0.6647
san_jose_1239,0.3953
san_jose_1240,0.4517
san_jose_1241,0.4205
san_jose_1242,1.1856
san_jose_1243,0.5262
san_jose_1244,3.1139
san_jose_1245,4.8477
san_jose_1246,1.0998
san_jose_1248,0.4648
san_jose_1001248,0.8768
san_jose_1000015,0.5564
san_jose_1251,0.7461
san_jose_1001251,0.3400
san_jose_1000016,0.8927
san_jose_1253,0.4527
san_jose_1254,0.4184
san_jose_1255,0.4500
san_jose_1256,1.4223
san_jose_1257,0.3745
san_jose_1000017,0.3822
san_jose_1259,0.6716
san_jose_1260,0.4698
san_jose_1261,0.3093
san_jose_1262,1.1740
san_jose_1263,6.7888
san_jose_1264,0.9631
san_jose_1265,0.9631
san_jose_1266,0.5984
san_jose_1267,0.1750
san_jose_1268,0.2655
san_jose_1000018,1.3188
san_jose_1270,1.0333
san_jose_1271,1.0445
san_jose_1272,1.4299
san_jose_1274,1.0674
san_jose_1275,0.6496
san_jose_1276,1.9452
san_jose_1277,0.5810
san_jose_1278,2.1823
san_jose_1279,4.6126
san_jose_1280,1.7772
san_jose_1281,1.6231
san_jose_1282,0.7098
san_jose_1283,0.4693
san_jose_1284,1.5802
san_jose_1285,3.8537
san_jose_1286,1.7775
san_jose_1287,0.8768
san_jose_1000019,0.4911
san_jose_1289,3.8590
san_jose_1000020,0.5643
san_jose_1291,1.7368
san_jose_1292,1.0762
san_jose_1293,0.2955
san_jose_1294,0.7515
san_jose_1295,1.5897
san_jose_1296,0.3799
san_jose_1297,1.1828
san_jose_1298,0.8711
san_jose_1299,0.9338
san_jose_1300,0.4837
san_jose_1301,0.5800
san_jose_1302,0.5132
san_jose_1303,0.7251
san_jose_1304,3.3044
san_jose_1000021,0.2938
san_jose_1306,0.3535
san_jose_1307,1.9647
san_jose_1308,27.3843
san_jose_1309,0.5509
san_jose_1310,1.0200
san_jose_1311,0.6399
san_jose_1312,1.2684
san_jose_1313,0.6583
san_jose_1314,0.7178
san_jose_1000022,0.6765
san_jose_1316,0.9783
san_jose_1317,1.1167
san_jose_1318,1.0266
san_jose_1319,0.4504
san_jose_1320,0.7361
san_jose_1321,2.9972
san_jose_1322,2.1433
san_jose_1000023,1.5115
san_jose_1324,0.3284
san_jose_1326,0.4059
san_jose_1327,0.4172
san_jose_1328,1.5101
san_jose_1329,0.3272
san_jose_1000024,0.8069
san_jose_1331,0.9612
san_jose_1332,0.4012
san_jose_1333,2.0673
san_jose_1335,2.4194
san_jose_1000025,0.7542
san_jose_1338,0.2973
san_jose_1339,1.7079
san_jose_1340,0.3006
san_jose_1341,0.4418
san_jose_1342,0.8401
san_jose_1343,1.3387
san_jose_1344,0.9579
san_jose_1345,0.9600
san_jose_1346,0.5721
san_jose_1347,0.2072
san_jose_1348,1.6531
san_jose_1349,1.2619
san_jose_1350,1.6895
san_jose_1352,0.7544
san_jose_1353,3.3832
san_jose_1354,0.6707
san_jose_1355,0.7567
san_jose_1356,1.4636
san_jose_1357,0.4192
san_jose_1358,2.1048
san_jose_1359,0.9345
san_jose_1360,0.5875
san_jose_1361,2.7961
san_jose_1000026,1.8780
san_jose_1363,2.6809
san_jose_1364,0.2637
san_jose_1366,3.6410
san_jose_1367,0.3120
san_jose_1368,0.4871
san_jose_1369,1.7571
san_jose_1370,0.7054
san_jose_1371,5.4284
san_jose_1372,0.7429
san_jose_1373,0.3380
san_jose_1374,0.9212
san_jose_1375,0.2604
san_jose_1376,0.9597
san_jose_1377,1.2231
san_jose_1378,1.5563
san_jose_1000027,0.6543
san_jose_1380,1.8008
san_jose_1382,1.5711
