building_id,resident_population
santo_domingo_1,3.4135
santo_domingo_2,7.6401
santo_domingo_3,0.6865
santo_domingo_4,1.1770
santo_domingo_5,1.8703
santo_domingo_6,1.2899
santo_domingo_7,1.9685
santo_domingo_8,5.4094
santo_domingo_9,0.9369
santo_domingo_10,2.0374
santo_domingo_11,1.5980
santo_domingo_12,1.9454
santo_domingo_13,3.8376
santo_domingo_14,2.8797
santo_domingo_15,14.5031
santo_domingo_16,14.5031
santo_domingo_17,5.1622
santo_domingo_18,2.3201
santo_domingo_19,4.1581
santo_domingo_20,0.6262
santo_domingo_21,0.8019
santo_domingo_22,8.7290
santo_domingo_23,8.8248
santo_domingo_24,16.0030
santo_domingo_25,0.4056
santo_domingo_26,14.6899
santo_domingo_27,19.5856
santo_domingo_28,3.6865
santo_domingo_29,60.6182
santo_domingo_30,4.1201
santo_domingo_31,3.9438
santo_domingo_32,2.3901
santo_domingo_33,1.2336
santo_domingo_34,8.1401
santo_domingo_35,7.2921
santo_domingo_36,0.2391
santo_domingo_37,46.3707
santo_domingo_38,9.2119
santo_domingo_39,27.0146
santo_domingo_40,4.5760
santo_domingo_41,12.8676
santo_domingo_42,18.4943
santo_domingo_43,16.3127
santo_domingo_44,18.0801
santo_domingo_45,15.3526
santo_domingo_46,12.5015
santo_domingo_47,5.1214
santo_domingo_48,3.3396
santo_domingo_49,9.8985
santo_domingo_50,25.0515
santo_domingo_51,20.6766
santo_domingo_52,15.1380
santo_domingo_53,16.0623
santo_domingo_54,4.5867
santo_domingo_55,13.3450
santo_domingo_56,4.7535
santo_domingo_57,8.7208
santo_domingo_58,9.6079
santo_domingo_59,33.2267
santo_domingo_60,19.6325
santo_domingo_61,24.0597
santo_domingo_62,18.4341
santo_domingo_63,12.3891
santo_domingo_64,20.6167
santo_domingo_65,1.1565
santo_domingo_66,6.6516
santo_domingo_67,16.1607
santo_domingo_68,3.9183
santo_domingo_69,16.1798
santo_domingo_70,7.7099
santo_domingo_71,4.7758
santo_domingo_72,14.5982
santo_domingo_73,0.9286
santo_domingo_74,10.0842
santo_domingo_75,10.0283
santo_domingo_76,0.9427
santo_domingo_77,13.2313
santo_domingo_78,40.4661
santo_domingo_79,6.3075
santo_domingo_80,12.3448
santo_domingo_81,3.4504
santo_domingo_82,19.1286
santo_domingo_83,11.6571
santo_domingo_84,10.7390
santo_domingo_85,3.8030
santo_domingo_86,27.0015
santo_domingo_87,6.7001
santo_domingo_88,7.0722
santo_domingo_89,1.3198
santo_domingo_90,2.9790
santo_domingo_91,2.5387
santo_domingo_92,10.2660
santo_domingo_93,4.1610
santo_domingo_94,15.6256
santo_domingo_95,27.0923
santo_domingo_96,15.0643
santo_domingo_97,11.4754
santo_domingo_98,59.3956
santo_domingo_99,27.1978
santo_domingo_100,7.8424
santo_domingo_101,0.8273
santo_domingo_102,1.4666
santo_domingo_103,3.1303
santo_domingo_104,1.5859
santo_domingo_105,9.7942
santo_domingo_106,1.9696
santo_domingo_107,0.5957
santo_domingo_108,2.1409
santo_domingo_109,2.3411
santo_domingo_110,2.0454
santo_domingo_111,6.4719
santo_domingo_112,4.4842
santo_domingo_113,6.7197
santo_domingo_114,13.0363
santo_domingo_115,4.8743
santo_domingo_116,5.8973
santo_domingo_117,2.1475
santo_domingo_118,7.9007
santo_domingo_119,26.7281
santo_domingo_120,2.5368
santo_domingo_121,15.5128
santo_domingo_122,28.9163
santo_domingo_123,0.6273
santo_domingo_124,2.9635
santo_domingo_125,5.8476
santo_domingo_126,24.2539
santo_domingo_127,33.5669
santo_domingo_128,5.7317
santo_domingo_129,11.8862
santo_domingo_130,20.9373
santo_domingo_131,17.6194
santo_domingo_132,15.4889
santo_domingo_133,2.7641
santo_domingo_134,54.7311
santo_domingo_135,16.5899
santo_domingo_136,107.7608
santo_domingo_137,2.9536
santo_domingo_138,9.8954
santo_domingo_139,8.1487
santo_domingo_140,7.6638
santo_domingo_141,6.0896
santo_domingo_142,2.0194
santo_domingo_143,4.8030
santo_domingo_144,9.6078
santo_domingo_145,5.8960
santo_domingo_146,4.1079
santo_domingo_147,6.0428
santo_domingo_148,2.7789
santo_domingo_149,2.6886
santo_domingo_150,4.5333
santo_domingo_151,7.7340
santo_domingo_152,1.9806
santo_domingo_153,0.9748
santo_domingo_154,2.1444
santo_domingo_155,1.7144
santo_domingo_156,1.0044
santo_domingo_157,47.5213
santo_domingo_158,6.2437
santo_domingo_159,3.2342
santo_domingo_160,1.3054
santo_domingo_161,18.6457
santo_domingo_162,15.2217
santo_domingo_163,4.7870
santo_domingo_164,3.5590
santo_domingo_165,2.1076
santo_domingo_166,1.3836
