imt,level,mean_poe,p16_poe,p84_poe
PGA,0.001,0.9990601539611816,0.9981934428215027,0.999718427658081
PGA,0.005,0.8880979418754578,0.8454368114471436,0.927374005317688
PGA,0.0065,0.8190513849258423,0.7605624198913574,0.8720025420188904
PGA,0.0085,0.7279098629951477,0.6568306684494019,0.7937678098678589
PGA,0.011,0.6257280111312866,0.551929235458374,0.6990200281143188
PGA,0.015,0.49506866931915283,0.4222117066383362,0.5671766996383667
PGA,0.019,0.3984200060367584,0.3292793333530426,0.4674222767353058
PGA,0.025,0.2972172796726227,0.24025121331214905,0.3606526553630829
PGA,0.032,0.22029243409633636,0.17264389991760254,0.27467790246009827
PGA,0.042,0.15262165665626526,0.11516638100147247,0.1959204226732254
PGA,0.055,0.10234376043081284,0.07428568601608276,0.13275769352912903
PGA,0.072,0.06646998971700668,0.046466801315546036,0.08712323755025864
PGA,0.094,0.04212600365281105,0.027786511927843094,0.056955382227897644
PGA,0.12,0.027118319645524025,0.016951173543930054,0.03711311146616936
PGA,0.16,0.01572880521416664,0.009054658003151417,0.021749025210738182
PGA,0.21,0.009161216206848621,0.004819164052605629,0.01287159975618124
PGA,0.27,0.005423970520496368,0.0026478474028408527,0.007781616877764463
PGA,0.36,0.00287284841760993,0.0012282601092010736,0.004178301431238651
PGA,0.46,0.0016102951485663652,0.0005938168033026159,0.0023893886245787144
PGA,0.61,0.0007848769892007113,0.00023520374088548124,0.001178245060145855
PGA,0.79,0.00038415874587371945,9.029879583977163e-05,0.0005754494341090322
PGA,1.03,0.00017385627143085003,2.9887542041251436e-05,0.0002560016873758286
PGA,1.35,7.272577931871638e-05,8.479766620439477e-06,0.00010308982018614188
PGA,1.76,2.9150445698178373e-05,2.11108522307768e-06,3.917992580682039e-05
PGA,2.3,1.0934360034298152e-05,4.489508853566804e-07,1.3786474482913036e-05
PGA,3.0,3.897271653841017e-06,8.463684508797087e-08,4.588744104694342e-06
PGA,4.0,1.1898627008122276e-06,1.0306721698327692e-08,1.2795425163858454e-06
SA(0.1),0.0016,0.9994847774505615,0.9990608096122742,0.9998632073402405
SA(0.1),0.011,0.8729029893875122,0.8293066620826721,0.9185135364532471
SA(0.1),0.014,0.8090320825576782,0.7512131333351135,0.8678023219108582
SA(0.1),0.018,0.7263465523719788,0.6554437279701233,0.7963000535964966
SA(0.1),0.024,0.6167015433311462,0.5365898609161377,0.6942156553268433
SA(0.1),0.032,0.5001694560050964,0.4181050956249237,0.5779981017112732
SA(0.1),0.042,0.393100768327713,0.31619149446487427,0.4632599353790283
SA(0.1),0.055,0.2972832918167114,0.22923536598682404,0.35931068658828735
SA(0.1),0.072,0.21636800467967987,0.16280478239059448,0.26801785826683044
SA(0.1),0.094,0.15241026878356934,0.11116185784339905,0.19286540150642395
SA(0.1),0.12,0.10739441961050034,0.07716339081525803,0.13805189728736877
SA(0.1),0.16,0.06881233304738998,0.047520868480205536,0.09058024734258652
SA(0.1),0.21,0.043870314955711365,0.029011467471718788,0.05906224250793457
SA(0.1),0.27,0.028288260102272034,0.01776869408786297,0.03874018415808678
SA(0.1),0.36,0.016705460846424103,0.009657245129346848,0.02342168614268303
SA(0.1),0.47,0.010027953423559666,0.005288637243211269,0.014208042994141579
SA(0.1),0.61,0.005959548056125641,0.0027793277986347675,0.00879281759262085
SA(0.1),0.8,0.0033829964231699705,0.0014116980601102114,0.005069045349955559
SA(0.1),1.04,0.001901347073726356,0.000668246007990092,0.002855044323951006
SA(0.1),1.36,0.0010202255798503757,0.0002864777925424278,0.0015740563394501805
SA(0.1),1.78,0.000526027346495539,0.00010892940917983651,0.0008256483706645668
SA(0.1),2.32,0.0002633793046697974,3.9424874557880685e-05,0.00040816739783622324
SA(0.1),3.03,0.00012590615369845182,1.2434146810846869e-05,0.00019281110144220293
SA(0.1),3.95,5.805276668979786e-05,3.3009923754434567e-06,8.692570554558188e-05
SA(0.1),5.16,2.5503188226139173e-05,7.598741831316147e-07,3.686038326122798e-05
SA(0.1),6.73,1.0775292139442172e-05,1.5565272803996777e-07,1.4950683180359192e-05
SA(0.1),8.98,4.009459644294111e-06,2.346095939742554e-08,5.2748619054909796e-06
SA(0.2),0.0016,0.9994509816169739,0.9990645051002502,0.999804675579071
SA(0.2),0.012,0.8251111507415771,0.780472457408905,0.8706747889518738
SA(0.2),0.016,0.7308006882667542,0.6720361709594727,0.7875330448150635
SA(0.2),0.021,0.6262961626052856,0.562898576259613,0.6921605467796326
SA(0.2),0.028,0.5090956687927246,0.4441409111022949,0.5779783725738525
SA(0.2),0.037,0.3990556597709656,0.33860689401626587,0.4651870131492615
SA(0.2),0.048,0.306498259305954,0.2526010572910309,0.3650781512260437
SA(0.2),0.063,0.22457027435302734,0.17927038669586182,0.27335846424102783
SA(0.2),0.083,0.15830479562282562,0.12327177077531815,0.1977682262659073
SA(0.2),0.11,0.10714446753263474,0.08056037127971649,0.1366356611251831
SA(0.2),0.14,0.07482258975505829,0.05388396605849266,0.09635842591524124
SA(0.2),0.18,0.05031157657504082,0.03484080359339714,0.06660478562116623
SA(0.2),0.24,0.031106911599636078,0.020604316145181656,0.04155445098876953
SA(0.2),0.32,0.018729712814092636,0.011568287387490273,0.025358153507113457
SA(0.2),0.41,0.01184897217899561,0.006905379705131054,0.016255591064691544
SA(0.2),0.54,0.006954174023121595,0.003721491666510701,0.009825894609093666
SA(0.2),0.7,0.00409691734239459,0.0020084665156900883,0.005983004346489906
SA(0.2),0.92,0.0022662943229079247,0.000998959643766284,0.0033645397052168846
SA(0.2),1.2,0.0012219035997986794,0.0004579179221764207,0.0018151988042518497
SA(0.2),1.57,0.0006224534590728581,0.0001908475678646937,0.0009377282112836838
SA(0.2),2.05,0.00030177488224580884,7.216651283670217e-05,0.00045347854029387236
SA(0.2),2.67,0.0001393875281792134,2.4895865863072686e-05,0.00020585363381542265
SA(0.2),3.49,6.030573058524169e-05,7.576034022349631e-06,8.588974014855921e-05
SA(0.2),4.55,2.497578134352807e-05,2.053352773145889e-06,3.4151162253692746e-05
SA(0.2),5.94,9.79455671767937e-06,4.974221496922837e-07,1.2805257938452996e-05
SA(0.2),7.76,3.640645445557311e-06,9.892777086406568e-08,4.504935077420669e-06
SA(0.2),10.34,1.182365053864487e-06,1.3655293784609057e-08,1.3642159046867164e-06
SA(0.3),0.0012,0.9995630979537964,0.9992294311523438,0.9998659491539001
SA(0.3),0.011,0.7833364009857178,0.7326303124427795,0.8335733413696289
SA(0.3),0.014,0.6984033584594727,0.6392640471458435,0.7600662112236023
SA(0.3),0.019,0.5778778195381165,0.5127595663070679,0.6461725831031799
SA(0.3),0.025,0.466918408870697,0.399069607257843,0.5375123620033264
SA(0.3),0.033,0.36145466566085815,0.29965609312057495,0.4274419844150543
SA(0.3),0.043,0.2732528746128082,0.21974554657936096,0.3325914740562439
SA(0.3),0.057,0.19579851627349854,0.15169088542461395,0.2420874834060669
SA(0.3),0.075,0.1370307058095932,0.10213132202625275,0.17283286154270172
SA(0.3),0.098,0.09407360106706619,0.06768205016851425,0.12139897048473358
SA(0.3),0.13,0.06147721782326698,0.042399171739816666,0.08093365281820297
SA(0.3),0.17,0.04004254564642906,0.02664509043097496,0.05341120436787605
SA(0.3),0.22,0.025954362004995346,0.016501212492585182,0.035362549126148224
SA(0.3),0.29,0.015939554199576378,0.00942685641348362,0.022018032148480415
SA(0.3),0.37,0.010159771889448166,0.005593885201960802,0.014310970902442932
SA(0.3),0.49,0.005886223167181015,0.002958412514999509,0.008449617773294449
SA(0.3),0.64,0.0033955269027501345,0.0015523444162681699,0.004963569343090057
SA(0.3),0.83,0.0019182885298505425,0.0007724793977104127,0.0028370078653097153
SA(0.3),1.09,0.0010081850923597813,0.00033489480847492814,0.0015136017464101315
SA(0.3),1.42,0.0005139391287229955,0.00013736284745391458,0.0007819085149094462
SA(0.3),1.85,0.0002487103338353336,5.330865678843111e-05,0.000374903145711869
SA(0.3),2.42,0.00011285507935099304,1.7671929526841268e-05,0.0001650937629165128
SA(0.3),3.16,4.890937270829454e-05,5.200735358812381e-06,6.928370567038655e-05
SA(0.3),4.12,2.0288045561756007e-05,1.345028294963413e-06,2.7549325750442222e-05
SA(0.3),5.38,7.972790626809001e-06,3.0155783292684646e-07,1.0344515430915635e-05
SA(0.3),7.02,2.9823570457665483e-06,5.898536059589787e-08,3.663335519377142e-06
SA(0.3),9.36,9.649769481256953e-07,7.270006818771435e-09,1.1006596878360142e-06
SA(0.6),0.00048,0.9996345639228821,0.9994595646858215,0.9998860359191895
