return_period_years,mag_bin,dist_bin,fraction
475,4.25,10.0,0.0008211327116907107
475,4.25,30.0,0.00035799226412795834
475,4.25,50.0,5.2343484000765813e-05
475,4.25,70.0,1.046633388239812e-06
475,4.25,90.0,7.358115375360211e-10
475,4.75,10.0,0.005163179274789482
475,4.75,30.0,0.0026539433872278294
475,4.75,50.0,0.0006359864696877027
475,4.75,70.0,3.8700775946241504e-05
475,4.75,90.0,2.3529158596314364e-06
475,4.75,110.0,5.771700454004474e-08
475,5.25,10.0,0.014793378540809017
475,5.25,30.0,0.007255554713201176
475,5.25,50.0,0.0007017621916273316
475,5.25,70.0,4.953835988051984e-05
475,5.25,90.0,3.560031449296979e-06
475,5.25,110.0,1.5338803384682986e-07
475,5.75,10.0,0.018174000946472042
475,5.75,30.0,0.00953610934392775
475,5.75,50.0,0.0005900981507078579
475,5.75,70.0,3.813424208940632e-05
475,5.75,90.0,0.00037883927891785724
475,5.75,110.0,0.000467402657797767
475,5.75,130.0,0.00010575257939897614
475,5.75,150.0,1.1045024290190458e-05
475,5.75,170.0,1.2969050583144302e-06
475,5.75,190.0,1.2853287098381094e-07
475,5.75,210.0,2.054349087804045e-08
475,5.75,230.0,6.075363710992602e-11
475,6.25,10.0,0.06861458934915854
475,6.25,30.0,0.00931080072442048
475,6.25,50.0,0.0007805671005449517
475,6.25,70.0,7.691412609152145e-05
475,6.25,90.0,0.005086196881808598
475,6.25,110.0,0.006577222543980037
475,6.25,130.0,0.002017205938841347
475,6.25,150.0,0.0004087289924909355
475,6.25,170.0,8.653380074979817e-05
475,6.25,190.0,2.6548843472191727e-05
475,6.25,210.0,9.322864652890284e-06
475,6.25,230.0,3.6801813151809546e-06
475,6.25,250.0,1.1844312938114482e-06
475,6.25,270.0,4.550586449877449e-07
475,6.25,290.0,2.2638825061967356e-07
475,6.75,10.0,0.07219691067613627
475,6.75,30.0,0.009913146205187864
475,6.75,50.0,0.0012308332250887059
475,6.75,70.0,0.00021004813023649962
475,6.75,90.0,0.024835317282485163
475,6.75,110.0,0.032625295197826476
475,6.75,130.0,0.011709136815249899
475,6.75,150.0,0.0038689437181211282
475,6.75,170.0,0.0010983113226516095
475,6.75,190.0,0.0004408446099921603
475,6.75,210.0,0.00021467692067776478
475,6.75,230.0,9.549168745557204e-05
475,6.75,250.0,4.7442529594354154e-05
475,6.75,270.0,2.069482420079594e-05
475,6.75,290.0,1.1148481910653497e-05
475,7.25,10.0,0.08113258321249495
475,7.25,30.0,0.008993809035319385
475,7.25,50.0,0.0008522692788211596
475,7.25,70.0,0.00020919831355456977
475,7.25,90.0,0.05344071013518347
475,7.25,110.0,0.08107711955746977
475,7.25,130.0,0.03224873539500574
475,7.25,150.0,0.009924036787804057
475,7.25,170.0,0.004775378682461354
475,7.25,190.0,0.002519346863347454
475,7.25,210.0,0.0018122197695931706
475,7.25,230.0,0.0006783006626367625
475,7.25,250.0,0.00042488084469770505
475,7.25,270.0,0.00020624506870933583
475,7.25,290.0,0.00014639016487496222
475,7.75,10.0,0.02853094153871327
475,7.75,30.0,0.00908155454223095
475,7.75,50.0,0.0005626001434047417
475,7.75,70.0,0.00016548129934560802
475,7.75,90.0,0.052731210324972896
475,7.75,110.0,0.07702425286018177
475,7.75,130.0,0.023391945195294576
475,7.75,150.0,0.009228197932619921
475,7.75,170.0,0.004148168587653096
475,7.75,190.0,0.0029989574688924
475,7.75,210.0,0.0017711434632164728
475,7.75,230.0,0.0009920717268829186
475,7.75,250.0,0.0006314597796159575
475,7.75,270.0,0.0003023559459020476
475,7.75,290.0,0.00019732366660875342
475,8.25,10.0,0.0010293781376046367
475,8.25,30.0,0.00017316569842478076
475,8.25,50.0,3.764286614781843e-05
475,8.25,70.0,1.1081181518270029e-05
475,8.25,90.0,0.032313015212876516
475,8.25,110.0,0.06780893835077267
475,8.25,130.0,0.006672432131575117
475,8.25,150.0,0.0076366271286679955
475,8.25,170.0,0.0035058632604972207
475,8.25,190.0,0.0033009955153024133
475,8.25,210.0,0.001817785292191715
475,8.25,230.0,0.0011874952476277091
475,8.25,250.0,0.0010204456800734217
475,8.25,270.0,0.0003864995717617747
475,8.25,290.0,0.0001786998073007254
475,8.75,90.0,0.009448944226427246
475,8.75,110.0,0.041035633951424406
475,8.75,130.0,0.003152167042392862
475,8.75,150.0,0.001433293674619776
475,8.75,170.0,0.0004378411615520327
475,8.75,190.0,0.0005636427118605088
475,8.75,210.0,0.0003384682802441167
475,8.75,230.0,0.00011176925656552041
475,8.75,250.0,8.521984112773994e-05
475,8.75,270.0,3.0520360040134167e-05
475,8.75,290.0,1.7684439405645942e-07
475,9.25,110.0,0.012731438606657307
975,4.25,10.0,0.00047259260765021013
975,4.25,30.0,0.00018424026841928524
975,4.25,50.0,1.8128712666350412e-05
975,4.25,70.0,1.339810690246329e-07
975,4.75,10.0,0.0035140915686660092
975,4.75,30.0,0.001568777673578643
975,4.75,50.0,0.00029706318765685763
975,4.75,70.0,1.2656295744884171e-05
975,4.75,90.0,3.996609621540772e-07
975,5.25,10.0,0.011441095741807536
975,5.25,30.0,0.004950456189382645
975,5.25,50.0,0.00030588389535210264
975,5.25,70.0,1.5662127389006292e-05
975,5.25,90.0,7.023993162390089e-07
975,5.75,10.0,0.015299371476011249
975,5.75,30.0,0.0069737989820997295
975,5.75,50.0,0.0002172653549678432
975,5.75,70.0,9.472659502114988e-06
975,5.75,90.0,0.0001960922771563467
975,5.75,110.0,0.00020729716356135698
975,5.75,130.0,3.818849638369518e-05
975,5.75,150.0,2.735275210715293e-06
975,5.75,170.0,1.42685385022807e-07
975,6.25,10.0,0.06938442626766139
975,6.25,30.0,0.006161382905208333
975,6.25,50.0,0.0003151732929189378
975,6.25,70.0,2.3166413133081566e-05
975,6.25,90.0,0.0036491315099305595
975,6.25,110.0,0.0040772389145553424
975,6.25,130.0,0.0011119954869064552
975,6.25,150.0,0.00019608257651401978
975,6.25,170.0,3.570784895740655e-05
975,6.25,190.0,9.189140080895759e-06
975,6.25,210.0,2.7090228930865597e-06
975,6.25,230.0,9.123084676870507e-07
975,6.25,250.0,2.2801688817852806e-07
975,6.25,270.0,5.127502328809347e-08
975,6.25,290.0,2.2132585627177896e-08
975,6.75,10.0,0.07434605267114237
975,6.75,30.0,0.00655583917467277
975,6.75,50.0,0.000615120438901297
975,6.75,70.0,8.347624596207595e-05
975,6.75,90.0,0.023188842773210244
975,6.75,110.0,0.026459368790921107
975,6.75,130.0,0.008492761666851532
975,6.75,150.0,0.0025481596774335107
975,6.75,170.0,0.0006375206943878772
975,6.75,190.0,0.00023457195936569657
975,6.75,210.0,0.00010684540827939912
975,6.75,230.0,4.437104328415606e-05
975,6.75,250.0,2.107297828497288e-05
975,6.75,270.0,8.533264003369326e-06
975,6.75,290.0,4.42304663886957e-06
975,7.25,10.0,0.09164547853532554
975,7.25,30.0,0.005999001588460595
975,7.25,50.0,0.00043906677814839034
975,7.25,70.0,8.513982843090229e-05
975,7.25,90.0,0.061311925063165365
975,7.25,110.0,0.08360224371902909
975,7.25,130.0,0.029608645081118476
975,7.25,150.0,0.008098154460825431
975,7.25,170.0,0.0036281193691235763
975,7.25,190.0,0.0017523822186405623
975,7.25,210.0,0.0012155540826465259
975,7.25,230.0,0.0004248092259921169
975,7.25,250.0,0.00025680848400775583
975,7.25,270.0,0.00011804777571527666
975,7.25,290.0,8.320090475529045e-05
975,7.75,10.0,0.03199357301968656
975,7.75,30.0,0.006107817675738406
975,7.75,50.0,0.00028044562404415906
975,7.75,70.0,6.567097733538161e-05
975,7.75,90.0,0.06765527628491703
975,7.75,110.0,0.08499352108214377
975,7.75,130.0,0.022586297636954387
975,7.75,150.0,0.00851954442541553
975,7.75,170.0,0.003554794817203329
975,7.75,190.0,0.002387345921237566
975,7.75,210.0,0.0013299435383860735
975,7.75,230.0,0.0007094215835604621
975,7.75,250.0,0.0004289513624414233
