imt,level,mean_poe,p16_poe,p84_poe
PGA,0.001,0.5478099584579468,0.5083780288696289,0.5796048045158386
PGA,0.005,0.21114377677440643,0.1786200851202011,0.24375338852405548
PGA,0.0065,0.16587117314338684,0.13688500225543976,0.19436600804328918
PGA,0.0085,0.12637650966644287,0.1012096181511879,0.14953309297561646
PGA,0.011,0.09514976292848587,0.07384810596704483,0.11362001299858093
PGA,0.015,0.06579077243804932,0.04974356293678284,0.08084390312433243
PGA,0.019,0.04867437109351158,0.03624426946043968,0.059774450957775116
PGA,0.025,0.03351888433098793,0.02442784793674946,0.042741596698760986
PGA,0.032,0.02340180240571499,0.01661858707666397,0.031127911061048508
PGA,0.042,0.015289228409528732,0.010121222585439682,0.02103293314576149
PGA,0.055,0.009674197994172573,0.005865093320608139,0.013547911308705807
PGA,0.072,0.005882837809622288,0.0032212859950959682,0.008228030055761337
PGA,0.094,0.003439741674810648,0.0016810981323942542,0.0049333819188177586
PGA,0.12,0.0020178232807666063,0.000884779030457139,0.002957408083602786
PGA,0.16,0.001019290299154818,0.0004183691635262221,0.001542982179671526
PGA,0.21,0.0005051072221249342,0.00019742731819860637,0.0007599212694913149
PGA,0.27,0.0002509878540877253,8.940876432461664e-05,0.0003737220831681043
PGA,0.36,0.00010595269850455225,3.41329287039116e-05,0.00015848205657675862
PGA,0.46,4.81012393720448e-05,1.4111354175838642e-05,7.013606955297291e-05
PGA,0.61,1.8117212675861083e-05,4.662463652493898e-06,2.552912883402314e-05
PGA,0.79,6.917049631738337e-06,1.3945938235337962e-06,9.761808541952632e-06
PGA,1.03,2.394211151113268e-06,4.211188695535384e-07,3.4347892778896494e-06
PGA,1.35,7.484830462090031e-07,1.0870384414829459e-07,1.0624738706610515e-06
PGA,1.76,2.2050910786219902e-07,2.3698373041725063e-08,2.789667234992521e-07
PGA,2.3,5.899420330024441e-08,4.097415295944984e-09,6.50247429234696e-08
PGA,3.0,1.462818666198018e-08,8.318957744890554e-10,1.3502607920656828e-08
PGA,4.0,2.9089020081585204e-09,1.1304757130403686e-10,2.2635928687009255e-09
SA(0.1),0.0016,0.5671109557151794,0.5335659384727478,0.6005010604858398
SA(0.1),0.011,0.19432169198989868,0.15943194925785065,0.2318422496318817
SA(0.1),0.014,0.15670372545719147,0.12544961273670197,0.1895916759967804
SA(0.1),0.018,0.12261072546243668,0.09602542221546173,0.1513185352087021
SA(0.1),0.024,0.09025035053491592,0.06832917034626007,0.11420757323503494
SA(0.1),0.032,0.06471117585897446,0.04742278903722763,0.08345827460289001
SA(0.1),0.042,0.046152811497449875,0.03226285055279732,0.06062353774905205
SA(0.1),0.055,0.03226334601640701,0.021454397588968277,0.043305061757564545
SA(0.1),0.072,0.02202771045267582,0.013807016424834728,0.03005923330783844
SA(0.1),0.094,0.014710312709212303,0.008724665269255638,0.02037862315773964
SA(0.1),0.12,0.00990929827094078,0.005481760948896408,0.013823125511407852
SA(0.1),0.16,0.00600829254835844,0.0030026801396161318,0.008530547842383385
SA(0.1),0.21,0.0036017713136970997,0.0016271116910502315,0.005231928080320358
SA(0.1),0.27,0.0021634234581142664,0.0009300060337409377,0.003218764904886484
SA(0.1),0.36,0.0011520107509568334,0.0004272501973900944,0.0018220156198367476
SA(0.1),0.47,0.0006130145047791302,0.00021654658485203981,0.0009894334943965077
SA(0.1),0.61,0.00031622566166333854,0.00010704477608669549,0.0005009009037166834
SA(0.1),0.8,0.00015138275921344757,4.909948620479554e-05,0.00023428976419381797
SA(0.1),1.04,7.076383917592466e-05,2.1961250240565278e-05,0.00010848300735233352
SA(0.1),1.36,3.094339626841247e-05,8.566308679291978e-06,4.7187113523250446e-05
SA(0.1),1.78,1.2811171473003924e-05,3.023719727934804e-06,1.829295069910586e-05
SA(0.1),2.32,5.100748694530921e-06,9.536870493320748e-07,7.071254458423937e-06
SA(0.1),3.03,1.9084245650446974e-06,2.4257624886558915e-07,2.5944464141502976e-06
SA(0.1),3.95,6.79177503570827e-07,5.7193599189986344e-08,9.096590360968548e-07
SA(0.1),5.16,2.2578984726351337e-07,1.3448631541734812e-08,2.927166065092024e-07
SA(0.1),6.73,7.0946519770132e-08,2.7884112796527916e-09,8.786410177208381e-08
SA(0.1),8.98,1.87708462107139e-08,4.2865588856244585e-10,2.1502824409935783e-08
