return_period_years,mag_bin,dist_bin,fraction
475,4.25,10.0,0.005427291612901782
475,4.25,30.0,0.0027073778116084852
475,4.25,50.0,0.0004300086919438293
475,4.25,70.0,3.108823860207942e-05
475,4.25,90.0,3.061463423195149e-06
475,4.25,110.0,1.491180814537073e-07
475,4.75,10.0,0.017001330337805418
475,4.75,30.0,0.011716304859288608
475,4.75,50.0,0.0022559650007921094
475,4.75,70.0,0.00030421188295868146
475,4.75,90.0,4.986178171960364e-05
475,4.75,110.0,4.042485621544168e-06
475,4.75,210.0,2.0254296723749025e-08
475,4.75,230.0,2.992181294298851e-08
475,4.75,250.0,6.324818363180166e-09
475,4.75,270.0,2.585480158617062e-10
475,5.25,10.0,0.02751107400491443
475,5.25,30.0,0.02144308034199086
475,5.25,50.0,0.003610531245170232
475,5.25,70.0,0.000528718442810201
475,5.25,90.0,8.977184446003576e-05
475,5.25,110.0,7.96040927406273e-06
475,5.25,130.0,8.128879129610189e-08
475,5.25,150.0,3.6476802742810374e-09
475,5.25,210.0,1.3197136235819467e-07
475,5.25,230.0,2.0013374827966833e-07
475,5.25,250.0,8.280606961357987e-08
475,5.25,270.0,2.9071831734255615e-08
475,5.25,290.0,7.572598148140112e-09
475,5.75,10.0,0.02314641306967222
475,5.75,30.0,0.021200520795389782
475,5.75,50.0,0.004095558824009699
475,5.75,70.0,0.0007168090312498106
475,5.75,90.0,0.0001344472171577988
475,5.75,110.0,1.4648873236713726e-05
475,5.75,130.0,0.00012881660685069336
475,5.75,150.0,0.0004575817929561337
475,5.75,170.0,0.0002796540394013072
475,5.75,190.0,0.00011607597138356564
475,5.75,210.0,5.667217194615581e-05
475,5.75,230.0,2.3753503154424064e-05
475,5.75,250.0,8.549359858455814e-06
475,5.75,270.0,2.8897403692066102e-06
475,5.75,290.0,1.0350238815389882e-06
475,6.25,10.0,0.014116690286869859
475,6.25,30.0,0.01325849568049805
475,6.25,50.0,0.0033110499090167017
475,6.25,70.0,0.0008391965221205445
475,6.25,90.0,0.0002220017299848428
475,6.25,110.0,3.701097642113962e-05
475,6.25,130.0,0.0012748028679492544
475,6.25,150.0,0.004626521940629462
475,6.25,170.0,0.0035498595666430665
475,6.25,190.0,0.0018962265004933765
475,6.25,210.0,0.001093394954071021
475,6.25,230.0,0.000565482331826154
475,6.25,250.0,0.00023102277381921465
475,6.25,270.0,0.00010377833585632014
475,6.25,290.0,4.315918164023691e-05
475,6.75,10.0,0.008607682259995107
475,6.75,30.0,0.008362276126852447
475,6.75,50.0,0.002773615320924134
475,6.75,70.0,0.0010205366730961273
475,6.75,90.0,0.0003892362202111936
475,6.75,110.0,8.750208854471971e-05
475,6.75,130.0,0.006009187598859307
475,6.75,150.0,0.01842042163754308
475,6.75,170.0,0.015195768687508106
475,6.75,190.0,0.011340602188451888
475,6.75,210.0,0.007318173652934082
475,6.75,230.0,0.004524287173175243
475,6.75,250.0,0.002051795010159499
475,6.75,270.0,0.0009929857503020885
475,6.75,290.0,0.0007195871608470997
475,7.25,10.0,0.0034573255043182038
475,7.25,30.0,0.0031325588186624084
475,7.25,50.0,0.0012750269134668211
475,7.25,70.0,0.000553228288147202
475,7.25,90.0,0.0002539775128054155
475,7.25,110.0,7.667878188187134e-05
475,7.25,130.0,0.01227141333993195
475,7.25,150.0,0.03462471888038173
475,7.25,170.0,0.030774050516523665
475,7.25,190.0,0.026165372539497706
475,7.25,210.0,0.0289446078605733
475,7.25,230.0,0.014837349496242953
475,7.25,250.0,0.008370536430976811
475,7.25,270.0,0.004802516367201641
475,7.25,290.0,0.0023208842450585312
475,7.75,10.0,1.8553232463191407e-05
475,7.75,30.0,6.689515391248833e-05
475,7.75,50.0,6.16582356325704e-05
