imt,level,mean_poe,p16_poe,p84_poe
PGA,0.005,1.0,1.0,1.0
PGA,0.006041251652862785,1.0,1.0,1.0
PGA,0.007299344306643466,1.0,1.0,1.0
PGA,0.008819435171464881,1.0,1.0,1.0
PGA,0.010656085461385679,1.0,1.0,1.0
PGA,0.012875218781328664,1.0,1.0,1.0
PGA,0.015556487348734355,1.0,1.0,1.0
PGA,0.01879613098165608,1.0,1.0,1.0
PGA,0.02271043147207104,1.0,1.0,1.0
PGA,0.027439886333575234,1.0,1.0,1.0
PGA,0.03315425173341567,1.0,1.0,1.0
PGA,0.04005863561678525,0.9999998211860657,0.9999996423721313,1.0
PGA,0.0484008597262664,0.999988317489624,0.9999756813049316,0.999997079372406
PGA,0.05848035476425732,0.9997274279594421,0.9994514584541321,0.9999111890792847
PGA,0.0706589079759143,0.9971747994422913,0.9950962066650391,0.9988032579421997
PGA,0.08537364891979435,0.9842108488082886,0.975195586681366,0.9915181398391724
PGA,0.10315273952952697,0.9446688890457153,0.9206807613372803,0.9653075933456421
PGA,0.12463433163601581,0.8634117245674133,0.8210929036140442,0.9039912223815918
PGA,0.15058947239990575,0.7402493953704834,0.6767779588699341,0.7996833324432373
PGA,0.1819497798079332,0.5924166440963745,0.524871289730072,0.6617794632911682
PGA,0.2198408816005392,0.4439096450805664,0.38636353611946106,0.5109303593635559
PGA,0.26562281786721387,0.313638299703598,0.25880250334739685,0.36899641156196594
PGA,0.3209388574956752,0.21058401465415955,0.17283500730991364,0.25212961435317993
PGA,0.38777448066272807,0.1352963149547577,0.11007825285196304,0.16432921588420868
PGA,0.46852864444834325,0.08362232148647308,0.0674799382686615,0.10285328328609467
PGA,0.5660998895374224,0.04990586265921593,0.03942582383751869,0.0621291808784008
PGA,0.6839903786706788,0.028828365728259087,0.022760819643735886,0.03633855655789375
PGA,0.8264316011372962,0.016142763197422028,0.012527302838861942,0.02061728946864605
PGA,0.998536255269745,0.008770770393311977,0.006084234919399023,0.011336690746247768
PGA,1.2064817605183529,0.004626786336302757,0.002776878885924816,0.006050646770745516
PGA,1.4577319859760607,0.0023707719519734383,0.0011899465462192893,0.003130766563117504
PGA,1.7613051539417657,0.0011801680084317923,0.00048330967547371984,0.0015629781410098076
PGA,2.1280975344892874,0.0005706335068680346,0.00018875616660807282,0.0007555348565801978
PGA,2.571274549537323,0.00026781740598380566,7.019610347924754e-05,0.0003530691610649228
PGA,3.1067433244712737,0.0001218659381265752,2.5137513148365542e-05,0.00015921889280434698
PGA,3.753723648796502,5.367902485886589e-05,8.79984781931853e-06,6.916150596225634e-05
PGA,4.535437839536395,2.2846024876344018e-05,3.061662710024393e-06,2.8885244319099e-05
PGA,5.479944268911139,9.377174137625843e-06,1.0724752428359352e-06,1.2008597877866123e-05
PGA,6.621144474431075,3.7050365335744573e-06,3.7993137880221184e-07,4.7263374653994106e-06
PGA,7.999999999999999,1.406793899150216e-06,1.354091523353418e-07,1.8161255184168112e-06
SA(0.1),0.005,1.0,1.0,1.0
SA(0.1),0.006041251652862785,1.0,1.0,1.0
SA(0.1),0.007299344306643466,1.0,1.0,1.0
SA(0.1),0.008819435171464881,1.0,1.0,1.0
SA(0.1),0.010656085461385679,1.0,1.0,1.0
SA(0.1),0.012875218781328664,1.0,1.0,1.0
SA(0.1),0.015556487348734355,1.0,1.0,1.0
SA(0.1),0.01879613098165608,1.0,1.0,1.0
SA(0.1),0.02271043147207104,1.0,1.0,1.0
SA(0.1),0.027439886333575234,1.0,1.0,1.0
SA(0.1),0.03315425173341567,1.0,1.0,1.0
SA(0.1),0.04005863561678525,1.0,1.0,1.0
SA(0.1),0.0484008597262664,1.0,1.0,1.0
SA(0.1),0.05848035476425732,1.0,1.0,1.0
SA(0.1),0.0706589079759143,1.0,1.0,1.0
SA(0.1),0.08537364891979435,1.0,1.0,1.0
SA(0.1),0.10315273952952697,0.9999998211860657,0.9999998807907104,1.0
SA(0.1),0.12463433163601581,0.9999914765357971,0.9999877214431763,0.9999995231628418
SA(0.1),0.15058947239990575,0.999828040599823,0.9997739195823669,0.9999756217002869
SA(0.1),0.1819497798079332,0.9982842206954956,0.9979227781295776,0.9995477199554443
SA(0.1),0.2198408816005392,0.9901584386825562,0.9848650097846985,0.9965004324913025
SA(0.1),0.26562281786721387,0.9634239077568054,0.9507169723510742,0.9832887649536133
SA(0.1),0.3209388574956752,0.9030619859695435,0.8840452432632446,0.9457939267158508
SA(0.1),0.38777448066272807,0.8021334409713745,0.7624105215072632,0.8480082750320435
SA(0.1),0.46852864444834325,0.6691116690635681,0.6180130243301392,0.7243562340736389
SA(0.1),0.5660998895374224,0.5237098932266235,0.4757465422153473,0.5798871517181396
SA(0.1),0.6839903786706788,0.3863653838634491,0.3472821116447449,0.43638575077056885
SA(0.1),0.8264316011372962,0.27052631974220276,0.24213102459907532,0.3106071949005127
SA(0.1),0.998536255269745,0.18104779720306396,0.1586967259645462,0.2104398012161255
SA(0.1),1.2064817605183529,0.11651843041181564,0.09775098413228989,0.13646331429481506
SA(0.1),1.4577319859760607,0.0724559873342514,0.055875446647405624,0.08544217795133591
SA(0.1),1.7613051539417657,0.04368187114596367,0.03270646557211876,0.05179358273744583
SA(0.1),2.1280975344892874,0.025589507073163986,0.01849016547203064,0.030378669500350952
SA(0.1),2.571274549537323,0.014586828649044037,0.010099499486386776,0.01757005602121353
SA(0.1),3.1067433244712737,0.008097315207123756,0.005332591477781534,0.010018519125878811
SA(0.1),3.753723648796502,0.004378889221698046,0.002724790945649147,0.005579147953540087
SA(0.1),4.535437839536395,0.002307161223143339,0.0013500467175617814,0.003033708781003952
SA(0.1),5.479944268911139,0.0011842522071674466,0.0006506094941869378,0.0016099550994113088
SA(0.1),6.621144474431075,0.0005920526455156505,0.0003062405448872596,0.0008333418518304825
SA(0.1),7.999999999999999,0.0002881832479033619,0.0001414923754055053,0.00040751247433945537
SA(0.2),0.005,1.0,1.0,1.0
SA(0.2),0.006041251652862785,1.0,1.0,1.0
SA(0.2),0.007299344306643466,1.0,1.0,1.0
SA(0.2),0.008819435171464881,1.0,1.0,1.0
SA(0.2),0.010656085461385679,1.0,1.0,1.0
SA(0.2),0.012875218781328664,1.0,1.0,1.0
SA(0.2),0.015556487348734355,1.0,1.0,1.0
SA(0.2),0.01879613098165608,1.0,1.0,1.0
SA(0.2),0.02271043147207104,1.0,1.0,1.0
SA(0.2),0.027439886333575234,1.0,1.0,1.0
SA(0.2),0.03315425173341567,1.0,1.0,1.0
SA(0.2),0.04005863561678525,1.0,1.0,1.0
SA(0.2),0.0484008597262664,1.0,1.0,1.0
SA(0.2),0.05848035476425732,1.0,1.0,1.0
SA(0.2),0.0706589079759143,1.0,1.0,1.0
SA(0.2),0.08537364891979435,0.9999998211860657,0.999999463558197,1.0
SA(0.2),0.10315273952952697,0.9999870657920837,0.9999726414680481,0.9999985694885254
SA(0.2),0.12463433163601581,0.9997040033340454,0.9994633793830872,0.9999417066574097
SA(0.2),0.15058947239990575,0.9969995617866516,0.9951463937759399,0.998953640460968
SA(0.2),0.1819497798079332,0.9835870862007141,0.9756639003753662,0.9919976592063904
SA(0.2),0.2198408816005392,0.9434893727302551,0.9245880842208862,0.9649963974952698
SA(0.2),0.26562281786721387,0.8622903823852539,0.8303334712982178,0.8989205956459045
SA(0.2),0.3209388574956752,0.7403443455696106,0.6988509297370911,0.7860575914382935
SA(0.2),0.38777448066272807,0.5946144461631775,0.5479444861412048,0.6396762728691101
SA(0.2),0.46852864444834325,0.44827142357826233,0.402934193611145,0.48551222681999207
SA(0.2),0.5660998895374224,0.3194971978664398,0.2870573401451111,0.3464944064617157
SA(0.2),0.6839903786706788,0.21700352430343628,0.19078491628170013,0.23437529802322388
SA(0.2),0.8264316011372962,0.14145497977733612,0.1214444488286972,0.15196757018566132
SA(0.2),0.998536255269745,0.08899090439081192,0.0746992900967598,0.09503503143787384
SA(0.2),1.2064817605183529,0.054248277097940445,0.04460464045405388,0.05763065069913864
SA(0.2),1.4577319859760607,0.0321279875934124,0.025936847552657127,0.034375570714473724
SA(0.2),1.7613051539417657,0.01851542852818966,0.014159183017909527,0.02038854919373989
SA(0.2),2.1280975344892874,0.01039310172200203,0.007377919275313616,0.011841224506497383
SA(0.2),2.571274549537323,0.005685475189238787,0.003675333457067609,0.006735260598361492
SA(0.2),3.1067433244712737,0.0030324566178023815,0.001747116562910378,0.0037506900262087584
SA(0.2),3.753723648796502,0.0015776435611769557,0.0007922035874798894,0.0020046026911586523
SA(0.2),4.535437839536395,0.0008008945733308792,0.0003432800294831395,0.0010637399973347783
SA(0.2),5.479944268911139,0.00039682324859313667,0.00014284315693657845,0.0005526337772607803
SA(0.2),6.621144474431075,0.00019189825979992747,5.755562233389355e-05,0.00027792653418146074
SA(0.2),7.999999999999999,9.054115798790008e-05,2.271814264531713e-05,0.00013718527043238282
SA(0.3),0.005,1.0,1.0,1.0
SA(0.3),0.006041251652862785,1.0,1.0,1.0
SA(0.3),0.007299344306643466,1.0,1.0,1.0
SA(0.3),0.008819435171464881,1.0,1.0,1.0
SA(0.3),0.010656085461385679,1.0,1.0,1.0
SA(0.3),0.012875218781328664,1.0,1.0,1.0
SA(0.3),0.015556487348734355,1.0,1.0,1.0
SA(0.3),0.01879613098165608,1.0,1.0,1.0
SA(0.3),0.02271043147207104,1.0,1.0,1.0
SA(0.3),0.027439886333575234,1.0,1.0,1.0
SA(0.3),0.03315425173341567,1.0,1.0,1.0
SA(0.3),0.04005863561678525,1.0,1.0,1.0
SA(0.3),0.0484008597262664,1.0,1.0,1.0
SA(0.3),0.05848035476425732,1.0,0.9999999403953552,1.0
SA(0.3),0.0706589079759143,0.9999973773956299,0.9999952912330627,0.9999991655349731
SA(0.3),0.08537364891979435,0.9999039173126221,0.9998430609703064,0.9999589920043945
SA(0.3),0.10315273952952697,0.9986177682876587,0.9978502988815308,0.9992452263832092
SA(0.3),0.12463433163601581,0.9902780055999756,0.9862014651298523,0.9934946298599243
SA(0.3),0.15058947239990575,0.9601845145225525,0.9480186700820923,0.9690530896186829
SA(0.3),0.1819497798079332,0.89095139503479,0.8623083233833313,0.903668999671936
SA(0.3),0.2198408816005392,0.7777839303016663,0.7343353629112244,0.7935025095939636
SA(0.3),0.26562281786721387,0.6347445249557495,0.5837242007255554,0.6513569951057434
SA(0.3),0.3209388574956752,0.48556241393089294,0.43093109130859375,0.5026686787605286
SA(0.3),0.38777448066272807,0.3507375419139862,0.3017262816429138,0.3663555681705475
SA(0.3),0.46852864444834325,0.24124903976917267,0.19483301043510437,0.2529160976409912
SA(0.3),0.5660998895374224,0.15921854972839355,0.12304430454969406,0.16780810058116913
SA(0.3),0.6839903786706788,0.10143617540597916,0.07504035532474518,0.10805220901966095
SA(0.3),0.8264316011372962,0.06265701353549957,0.04435667023062706,0.06825099140405655
SA(0.3),0.998536255269745,0.03763512521982193,0.025443265214562416,0.04209224507212639
SA(0.3),1.2064817605183529,0.022020677104592323,0.014151036739349365,0.025401657447218895
SA(0.3),1.4577319859760607,0.012563089840114117,0.007706785574555397,0.015018968842923641
SA(0.3),1.7613051539417657,0.00699200015515089,0.004206104204058647,0.008704842068254948
SA(0.3),2.1280975344892874,0.003797368612140417,0.0022452082484960556,0.004945382475852966
SA(0.3),2.571274549537323,0.002013163873925805,0.0010527862468734384,0.0027525194454938173
SA(0.3),3.1067433244712737,0.0010422167833894491,0.0004561786481644958,0.0015094272093847394
SA(0.3),3.753723648796502,0.0005270799738354981,0.00018622507923282683,0.0007938737981021404
SA(0.3),4.535437839536395,0.0002604460169095546,7.210586045403033e-05,0.0004135252966079861
SA(0.3),5.479944268911139,0.0001257256226381287,2.6678573703975417e-05,0.00021003994334023446
SA(0.3),6.621144474431075,5.925934965489432e-05,9.743766895553563e-06,0.00010375259444117546
SA(0.3),7.999999999999999,2.7246098397881724e-05,3.4836166378227063e-06,4.9807702453108504e-05
SA(0.4),0.005,1.0,1.0,1.0
SA(0.4),0.006041251652862785,1.0,1.0,1.0
SA(0.4),0.007299344306643466,1.0,1.0,1.0
SA(0.4),0.008819435171464881,1.0,1.0,1.0
SA(0.4),0.010656085461385679,1.0,1.0,1.0
SA(0.4),0.012875218781328664,1.0,1.0,1.0
SA(0.4),0.015556487348734355,1.0,1.0,1.0
SA(0.4),0.01879613098165608,1.0,1.0,1.0
SA(0.4),0.02271043147207104,1.0,1.0,1.0
