return_period_years,mag_bin,dist_bin,fraction
475,4.75,12.5,0.08295864668617974
475,4.75,37.5,0.0004872127468530849
475,4.75,62.5,0.010675435701207305
475,4.75,87.5,0.0011479264403242069
475,4.75,112.5,6.29344338472284e-05
475,4.75,137.5,4.745028044375612e-06
475,5.25,12.5,0.14731742472058412
475,5.25,37.5,0.00265666292541119
475,5.25,62.5,0.02217356696301961
475,5.25,87.5,0.0036346497944038723
475,5.25,112.5,0.0003196792013543035
475,5.25,137.5,3.389368864590861e-05
475,5.25,162.5,2.1085634136674588e-06
475,5.75,12.5,0.15836333339350397
475,5.75,37.5,0.00874991263240529
475,5.75,62.5,0.03274564683718057
475,5.75,87.5,0.007758311560303829
475,5.75,112.5,0.0011780313951385286
475,5.75,137.5,0.00020093162389382913
475,5.75,162.5,2.1637697628031382e-05
475,5.75,187.5,4.370341473986848e-06
475,6.25,12.5,0.1061288006544565
475,6.25,37.5,0.01477533063502738
475,6.25,62.5,0.04100971251650538
475,6.25,87.5,0.012078514403201724
475,6.25,112.5,0.00329659623733591
475,6.25,137.5,0.0008859408689508578
475,6.25,162.5,0.0001804859213337128
475,6.25,187.5,5.2651027672399875e-05
475,6.25,212.5,1.349461341271654e-05
475,6.25,237.5,5.208439797100981e-06
475,6.25,262.5,1.5234189327367638e-06
475,6.75,12.5,0.028979307594572026
475,6.75,37.5,0.004197802618432822
475,6.75,62.5,0.0507009766594774
475,6.75,87.5,0.018619131046920756
475,6.75,112.5,0.009817185781902608
475,6.75,137.5,0.0035336338661543674
475,6.75,162.5,0.0012149830852041675
475,6.75,187.5,0.0003896059196506706
475,6.75,212.5,0.00011563661155935835
475,6.75,237.5,6.778498356466289e-05
475,6.75,262.5,2.515647710474637e-05
475,6.75,287.5,1.0428434023956651e-05
475,6.75,312.5,3.0826091119869425e-06
475,6.75,337.5,1.0787881929833069e-06
475,7.25,12.5,1.6047685041138207e-06
475,7.25,37.5,0.0011033962140399155
475,7.25,62.5,0.053106699048512
475,7.25,87.5,0.02507183834613824
475,7.25,112.5,0.031397928940480345
475,7.25,137.5,0.01215793040464933
475,7.25,162.5,0.004054810007707042
475,7.25,187.5,0.0003652832207005291
475,7.25,212.5,0.00025171631193200694
475,7.25,237.5,0.00021082679009076867
475,7.25,262.5,8.869355439903932e-05
475,7.25,287.5,4.2712353012204355e-05
475,7.25,312.5,1.9739190270825696e-06
475,7.75,12.5,0.0005399152544307454
475,7.75,37.5,0.002751638085609035
475,7.75,62.5,0.0020325888609203997
475,7.75,87.5,0.043345377934103015
475,7.75,112.5,0.03442768444304405
475,7.75,137.5,0.010662741906855726
475,7.75,162.5,0.0007474416676769672
475,7.75,187.5,3.808979163177391e-05
475,7.75,212.5,0.00042637891756585326
475,7.75,237.5,0.0003345061147444031
475,7.75,262.5,0.00016058822660905438
475,7.75,287.5,7.353304256759463e-05
975,4.75,12.5,0.06885442910887428
975,4.75,37.5,0.00023624595766676162
975,4.75,62.5,0.007270001478378061
975,4.75,87.5,0.0006576415157248731
975,4.75,112.5,3.0675774106562265e-05
975,4.75,137.5,1.999957205177173e-06
975,5.25,12.5,0.14086974825260107
975,5.25,37.5,0.0015148480790464288
975,5.25,62.5,0.018125082115572712
975,5.25,87.5,0.0024899974840810525
975,5.25,112.5,0.00018450741155245074
975,5.25,137.5,1.696152800604669e-05
975,5.75,12.5,0.1703200675495654
975,5.75,37.5,0.005905742140940599
975,5.75,62.5,0.031292415304438485
975,5.75,87.5,0.0062254198000023155
975,5.75,112.5,0.0008057901156226737
975,5.75,137.5,0.00011928600124310749
975,5.75,162.5,1.1011242756488885e-05
975,5.75,187.5,1.97501248144016e-06
975,6.25,12.5,0.12535337388396248
975,6.25,37.5,0.011818956162489591
975,6.25,62.5,0.04300472328752561
975,6.25,87.5,0.010627870640498239
975,6.25,112.5,0.002554488993802306
975,6.25,137.5,0.0006039723826149361
975,6.25,162.5,0.00010768826411202738
975,6.25,187.5,2.8529991339691418e-05
975,6.25,212.5,6.734724616157061e-06
975,6.25,237.5,2.3477909709951297e-06
975,6.75,12.5,0.03612659234988538
975,6.75,37.5,0.0038288783215397054
975,6.75,62.5,0.056179750383174895
975,6.75,87.5,0.01759111531373781
975,6.75,112.5,0.008244435548141783
975,6.75,137.5,0.0026437458784444885
975,6.75,162.5,0.000838830785657626
975,6.75,187.5,0.0002528887294788276
975,6.75,212.5,7.012489782490166e-05
975,6.75,237.5,3.728636141100968e-05
975,6.75,262.5,1.2732165636791639e-05
975,6.75,287.5,4.902058363351981e-06
975,6.75,312.5,1.3635641071817664e-06
975,7.25,12.5,1.9805333844989984e-06
975,7.25,37.5,0.0011387203681958189
975,7.25,62.5,0.06128310589748108
975,7.25,87.5,0.025178026999210554
975,7.25,112.5,0.028916102974334418
975,7.25,137.5,0.01019786388350117
975,7.25,162.5,0.003122775066095171
975,7.25,187.5,0.00025779466608610234
975,7.25,212.5,0.00016651449766409744
975,7.25,237.5,0.00013149435532421353
975,7.25,262.5,5.212241645444469e-05
975,7.25,287.5,2.3731619572824567e-05
975,7.75,12.5,0.0007412920318125851
975,7.75,37.5,0.0031807517192775597
975,7.75,62.5,0.0021361437676346243
975,7.75,87.5,0.04473545469794387
975,7.75,112.5,0.03312055378568769
975,7.75,137.5,0.00942386181700557
975,7.75,162.5,0.0006107857326555234
975,7.75,187.5,2.483183124387499e-05
975,7.75,212.5,0.000302377640651295
975,7.75,237.5,0.00022649495506595855
975,7.75,262.5,0.0001031946532826721
975,7.75,287.5,4.482265366406393e-05
2475,4.75,12.5,0.0528792774415148
2475,4.75,37.5,9.469108450811422e-05
2475,4.75,62.5,0.0044238365996049234
2475,4.75,87.5,0.0003260265851783301
2475,4.75,112.5,1.2459704876672981e-05
2475,5.25,12.5,0.12780049220646453
2475,5.25,37.5,0.0007485459986369357
2475,5.25,62.5,0.013789681977403687
2475,5.25,87.5,0.0015312597645265058
2475,5.25,112.5,9.227099536532571e-05
2475,5.25,137.5,7.129559137135961e-06
2475,5.75,12.5,0.178892174401899
2475,5.75,37.5,0.0036026007942669466
2475,5.75,62.5,0.029143609702027284
2475,5.75,87.5,0.004686397641613082
2475,5.75,112.5,0.0004981563785057999
2475,5.75,137.5,6.20554761131597e-05
2475,5.75,162.5,4.742870420800208e-06
2475,6.25,12.5,0.14946842700952753
2475,6.25,37.5,0.008816329896035308
2475,6.25,62.5,0.04611224708720025
2475,6.25,87.5,0.009159459769380093
2475,6.25,112.5,0.0018641455698771227
2475,6.25,137.5,0.00037577396561723877
2475,6.25,162.5,5.66686889962654e-05
2475,6.25,187.5,1.3291629928400007e-05
2475,6.25,212.5,2.8210420246802273e-06
2475,6.75,12.5,0.04606808868544428
2475,6.75,37.5,0.0033385721146550335
2475,6.75,62.5,0.06477957747229013
2475,6.75,87.5,0.016495655775848654
2475,6.75,112.5,0.006623180555425014
2475,6.75,137.5,0.0018307967132396561
2475,6.75,162.5,0.0005239449719416442
2475,6.75,187.5,0.0001457301555582288
2475,6.75,212.5,3.6999155553638454e-05
2475,6.75,237.5,1.7475967399157954e-05
2475,6.75,262.5,5.380773024444925e-06
2475,6.75,287.5,1.8866415425235227e-06
2475,7.25,12.5,2.4911952122287446e-06
2475,7.25,37.5,0.0011537551589445713
2475,7.25,62.5,0.07210895168187359
2475,7.25,87.5,0.0247547344985013
2475,7.25,112.5,0.025417105754638975
2475,7.25,137.5,0.00797313764027639
2475,7.25,162.5,0.002196220649725379
2475,7.25,187.5,0.000161625840583144
2475,7.25,212.5,9.667058777401922e-05
2475,7.25,237.5,7.132201975522406e-05
2475,7.25,262.5,2.6343196741504566e-05
2475,7.25,287.5,1.1213168901836647e-05
2475,7.75,12.5,0.0010391141336995133
2475,7.75,37.5,0.003712132988023178
2475,7.75,62.5,0.002215703956086815
2475,7.75,87.5,0.04526823631783724
2475,7.75,112.5,0.030710658413182483
2475,7.75,137.5,0.007859146965991269
2475,7.75,162.5,0.0004622474283085215
2475,7.75,187.5,1.4031161105966353e-05
2475,7.75,212.5,0.00019190551686912885
2475,7.75,237.5,0.00013576761159530976
2475,7.75,262.5,5.802006160029203e-05
2475,7.75,287.5,2.3629574904560532e-05
