imt,level,mean_poe,p16_poe,p84_poe
PGA,0.005,0.4066537916660309,0.2886664569377899,0.5065460205078125
PGA,0.007001458052666578,0.3377349078655243,0.2307388037443161,0.4304807782173157
PGA,0.009804082972649935,0.2696782946586609,0.17655348777770996,0.3511781394481659
PGA,0.01372857513557423,0.2061360478401184,0.1292477399110794,0.2734931707382202
PGA,0.019224008586920874,0.1503273993730545,0.09027194231748581,0.20242813229560852
PGA,0.026919217945085727,0.10436410456895828,0.06077153980731964,0.14194491505622864
PGA,0.037694755050621406,0.0689035952091217,0.03963274881243706,0.09412264078855515
PGA,0.052783649258493485,0.04324895516037941,0.02478497289121151,0.05897235870361328
PGA,0.0739125012300015,0.025805965065956116,0.014865732751786709,0.034906234592199326
PGA,0.10349905538590448,0.014625080861151218,0.008547590114176273,0.019503768533468246
PGA,0.14492885895500504,0.007847527042031288,0.004696606658399105,0.010256250388920307
PGA,0.20294266531885968,0.003957079257816076,0.0024464265443384647,0.004900503903627396
PGA,0.2841789116652696,0.0018505984917283058,0.0011916891671717167,0.002374127507209778
PGA,0.39793334589536544,0.0007881462806835771,0.0005252909613773227,0.0010278366971760988
PGA,0.557222725808732,0.00029868129058741033,0.00019291660282760859,0.0003892183012794703
PGA,0.780274308148474,9.827768371906132e-05,5.968571349512786e-05,0.00013019249308854342
PGA,1.0926115676149946,2.6522548068896867e-05,1.4182131963025313e-05,3.5131106415065005e-05
PGA,1.529974811702931,5.0527469284133986e-06,1.9134115518681938e-06,7.532943527621683e-06
PGA,2.142410893154905,6.931706479917921e-07,9.445376036865127e-08,1.4010503264216823e-06
PGA,3.0,7.241118282763637e-08,3.6063414476927846e-09,1.750142786249853e-07
SA(0.1),0.005,0.520294725894928,0.3663853704929352,0.6383357644081116
SA(0.1),0.007108274886025895,0.4619129002094269,0.3150889277458191,0.5771341919898987
SA(0.1),0.01010551437106129,0.39891427755355835,0.2671970725059509,0.506298840045929
SA(0.1),0.014366554802837748,0.33344408869743347,0.22015075385570526,0.42903533577919006
SA(0.1),0.020424284140745257,0.2683795988559723,0.17082002758979797,0.34956783056259155
SA(0.1),0.029036285204543294,0.20699840784072876,0.1274767369031906,0.27277639508247375
SA(0.1),0.04127957938058807,0.15237729251384735,0.09126611053943634,0.20323073863983154
SA(0.1),0.058685319483349305,0.10673307627439499,0.06257489323616028,0.14402040839195251
SA(0.1),0.08343027653237962,0.07099925726652145,0.041112273931503296,0.09670565277338028
SA(0.1),0.11860906788186194,0.04480770230293274,0.02588273584842682,0.06154295802116394
SA(0.1),0.16862117169591592,0.026811733841896057,0.015583737753331661,0.036977753043174744
SA(0.1),0.23972112800366802,0.015186485834419727,0.008953042328357697,0.021201476454734802
SA(0.1),0.34080073476765443,0.008111727423965931,0.004885504022240639,0.011598321609199047
SA(0.1),0.4845010608176181,0.004058325197547674,0.002511891769245267,0.005960654001682997
SA(0.1),0.6887933445725556,0.0018813814967870712,0.0011468760203570127,0.0028426728677004576
SA(0.1),0.9792264865773757,0.0007967650890350342,0.0004219348484184593,0.001240454032085836
SA(0.1),1.392122208453867,0.00030373589834198356,0.00013368038344196975,0.00048251094995066524
SA(0.1),1.9791174665263065,0.00010200005635851994,3.5276723792776465e-05,0.00016527062689419836
SA(0.1),2.813622196760826,2.8954729714314453e-05,7.438108696078416e-06,4.8069297918118536e-05
SA(0.1),3.9999999999999996,6.527503956021974e-06,6.053634820091247e-07,1.1629706023086328e-05
SA(0.2),0.005,0.5257791876792908,0.3833134174346924,0.629540741443634
SA(0.2),0.007108274886025895,0.46333515644073486,0.32732364535331726,0.5677749514579773
SA(0.2),0.01010551437106129,0.3958171010017395,0.27303484082221985,0.4961612820625305
SA(0.2),0.014366554802837748,0.32614830136299133,0.21664559841156006,0.41778576374053955
SA(0.2),0.020424284140745257,0.2579364478588104,0.16550640761852264,0.33691927790641785
SA(0.2),0.029036285204543294,0.1949264407157898,0.12142080068588257,0.25876981019973755
SA(0.2),0.04127957938058807,0.1402752846479416,0.08535581082105637,0.18840689957141876
SA(0.2),0.058685319483349305,0.09590281546115875,0.057409536093473434,0.12959027290344238
SA(0.2),0.08343027653237962,0.06221335381269455,0.03691716119647026,0.08402152359485626
SA(0.2),0.11860906788186194,0.03827953711152077,0.022815002128481865,0.05129988119006157
SA(0.2),0.16862117169591592,0.02233584225177765,0.013539937324821949,0.029482902958989143
SA(0.2),0.23972112800366802,0.012343749403953552,0.007701989728957415,0.015928002074360847
SA(0.2),0.34080073476765443,0.006436345167458057,0.004184156656265259,0.008057727478444576
SA(0.2),0.4845010608176181,0.0031403617467731237,0.0021279524080455303,0.0038347949739545584
SA(0.2),0.6887933445725556,0.0014135248493403196,0.000952737929765135,0.0017897526267915964
SA(0.2),0.9792264865773757,0.0005761299980804324,0.00038015551399439573,0.00072600127896294
SA(0.2),1.392122208453867,0.00020813367154914886,0.000130886968690902,0.00026517268270254135
SA(0.2),1.9791174665263065,6.491635576821864e-05,3.6989833461120725e-05,9.273394971387461e-05
SA(0.2),2.813622196760826,1.613248787180055e-05,6.917307473486289e-06,2.8624113838304766e-05
SA(0.2),3.9999999999999996,2.8912957077409374e-06,5.28837176716479e-07,6.762209977750899e-06
SA(0.5),0.005,0.41626647114753723,0.31013253331184387,0.496099591255188
SA(0.5),0.007001458052666578,0.34440287947654724,0.2589394450187683,0.4168053865432739
SA(0.5),0.009804082972649935,0.2735311985015869,0.20579840242862701,0.33524954319000244
SA(0.5),0.01372857513557423,0.20777729153633118,0.15418268740177155,0.2567349076271057
SA(0.5),0.019224008586920874,0.15057089924812317,0.11042188107967377,0.18643343448638916
