return_period_years,mag_bin,dist_bin,fraction
475,5.25,10.0,0.13403553752898953
475,5.25,30.0,0.05903318761089278
475,5.25,50.0,0.005091352358396507
475,5.75,10.0,0.0708488473439949
475,5.75,30.0,0.05412517689356584
475,5.75,50.0,0.008190843632450843
475,5.75,70.0,0.0005851078225132602
475,5.75,90.0,0.0012358162845715163
475,5.75,110.0,0.000274409949402482
475,5.75,130.0,2.9498051037160105e-05
475,6.25,10.0,0.013210840585097843
475,6.25,30.0,0.017327349214529966
475,6.25,50.0,0.0068725717116591084
475,6.25,70.0,0.0026906104077641896
475,6.25,90.0,0.008872959070968262
475,6.25,110.0,0.007740796243642361
475,6.25,130.0,0.003368824706392134
475,6.25,150.0,0.0010098590431682289
475,6.25,170.0,0.00019564256222705232
475,6.25,190.0,5.46777836108575e-06
475,6.75,10.0,0.015693508324598315
475,6.75,30.0,0.010628955455918992
475,6.75,50.0,0.010249161752361046
475,6.75,70.0,0.007926966084996436
475,6.75,90.0,0.026546585825094175
475,6.75,110.0,0.027526129003937187
475,6.75,130.0,0.01710226847107754
475,6.75,150.0,0.00901480047245062
475,6.75,170.0,0.00417553392357779
475,6.75,190.0,0.001389000691847755
475,6.75,210.0,0.0003645337316355081
475,6.75,230.0,4.768450574251885e-05
475,6.75,250.0,4.621612182980829e-06
475,6.75,270.0,6.4807085091277635e-09
475,7.25,10.0,0.008435638177426031
475,7.25,30.0,0.004205430392147966
475,7.25,50.0,0.012643552143013374
475,7.25,70.0,0.017730301107308295
475,7.25,90.0,0.050304143009726715
475,7.25,110.0,0.045778817034509124
475,7.25,130.0,0.0335665373144469
475,7.25,150.0,0.023868286699800116
475,7.25,170.0,0.013997251911285388
475,7.25,190.0,0.005959828297596535
475,7.25,210.0,0.0018221617349584408
475,7.25,230.0,0.00025812960420431116
475,7.25,250.0,4.242180716704356e-05
475,7.25,270.0,8.927209414865853e-06
475,7.25,290.0,6.229771860816279e-08
475,7.75,10.0,0.0003306117596418257
475,7.75,30.0,0.002930900009978912
475,7.75,50.0,0.029272242477673564
475,7.75,70.0,0.027142671860834012
475,7.75,90.0,0.022864830619179224
475,7.75,110.0,0.0026822371644712336
475,7.75,130.0,0.002243945819059592
475,7.75,150.0,0.00034914224088597245
475,7.75,170.0,0.0005367084893592823
475,7.75,190.0,0.00012517837351849642
475,7.75,210.0,7.047277740862048e-05
475,7.75,230.0,2.8809945802335384e-05
475,7.75,250.0,2.312597160925599e-05
475,7.75,270.0,8.476262246159092e-06
475,7.75,290.0,4.874741427671244e-06
475,8.25,30.0,0.00046072376887576347
475,8.25,50.0,0.0009976847221734044
475,8.25,70.0,0.14720216034424408
475,8.25,90.0,0.01160263136469068
475,8.25,110.0,0.0038378891771030104
475,8.25,130.0,0.002347246181639021
475,8.25,150.0,5.978570180294507e-06
475,8.25,170.0,0.0006395000378489848
475,8.25,190.0,0.00019789882032837623
475,8.25,210.0,3.623197895225235e-07
475,8.25,230.0,1.6374790128725695e-05
475,8.25,250.0,2.006904553936704e-05
475,8.25,270.0,1.5234684882642073e-05
475,8.25,290.0,6.07378300183996e-06
975,5.25,10.0,0.1392246954777091
975,5.25,30.0,0.04142782914924076
975,5.25,50.0,0.0031196080679775622
975,5.75,10.0,0.08199188153855265
975,5.75,30.0,0.04428190338567585
975,5.75,50.0,0.0036844291400196555
975,5.75,70.0,0.0002447200520340294
975,5.75,90.0,0.0002826907185019426
975,6.25,10.0,0.016173121957020507
975,6.25,30.0,0.015628495452749223
975,6.25,50.0,0.004244724447025468
975,6.25,70.0,0.0015586472563679215
975,6.25,90.0,0.005847846714488539
975,6.25,110.0,0.003730824053786758
975,6.25,130.0,0.001278853319600135
975,6.25,150.0,0.00020679297005819945
975,6.25,170.0,2.7713890764744905e-06
975,6.75,10.0,0.020027343963201973
975,6.75,30.0,0.011020456834378285
975,6.75,50.0,0.007735323675868208
975,6.75,70.0,0.007058431110103699
975,6.75,90.0,0.025203603274822184
975,6.75,110.0,0.02482835803839955
975,6.75,130.0,0.013821195578871773
975,6.75,150.0,0.005994455484071466
975,6.75,170.0,0.0021679004342263428
975,6.75,190.0,0.000484199548309789
975,6.75,210.0,7.400027350928232e-05
975,6.75,230.0,1.6316433221674472e-06
975,7.25,10.0,0.011261736273625197
975,7.25,30.0,0.0045203069843630945
975,7.25,50.0,0.011591322007001161
975,7.25,70.0,0.01995988245007516
975,7.25,90.0,0.05523407156795287
975,7.25,110.0,0.05428699398876312
