lon,lat,vs30_ms
-103.466667,20.866667,539.5
-103.458333,20.866667,562.0
-103.450000,20.866667,477.5
-103.441667,20.866667,402.2
-103.433333,20.866667,396.1
-103.425000,20.866667,582.3
-103.416667,20.866667,480.8
-103.408333,20.866667,545.7
-103.400000,20.866667,671.4
-103.391667,20.866667,681.2
-103.383333,20.866667,668.9
-103.375000,20.866667,693.7
-103.366667,20.866667,586.8
-103.358333,20.866667,513.0
-103.350000,20.866667,900.0
-103.341667,20.866667,900.0
-103.333333,20.866667,478.5
-103.325000,20.866667,780.4
-103.316667,20.866667,814.2
-103.308333,20.866667,670.5
-103.300000,20.866667,745.7
-103.291667,20.866667,813.6
-103.283333,20.866667,839.3
-103.275000,20.866667,583.9
-103.266667,20.866667,428.3
-103.258333,20.866667,467.0
-103.466667,20.858333,529.4
-103.458333,20.858333,460.0
-103.450000,20.858333,405.8
-103.441667,20.858333,376.2
-103.433333,20.858333,358.8
-103.425000,20.858333,451.9
-103.416667,20.858333,561.8
-103.408333,20.858333,546.4
-103.400000,20.858333,423.1
-103.391667,20.858333,401.0
-103.383333,20.858333,538.2
-103.375000,20.858333,627.5
-103.366667,20.858333,655.9
-103.358333,20.858333,835.8
-103.350000,20.858333,900.0
-103.341667,20.858333,820.6
-103.333333,20.858333,493.2
-103.325000,20.858333,676.5
-103.316667,20.858333,868.8
-103.308333,20.858333,778.6
-103.300000,20.858333,900.0
-103.291667,20.858333,851.1
-103.283333,20.858333,553.9
-103.275000,20.858333,287.7
-103.266667,20.858333,381.7
-103.258333,20.858333,353.5
-103.466667,20.850000,553.6
-103.458333,20.850000,517.5
-103.450000,20.850000,448.6
-103.441667,20.850000,362.3
-103.433333,20.850000,296.2
-103.425000,20.850000,354.3
-103.416667,20.850000,484.2
-103.408333,20.850000,498.8
-103.400000,20.850000,456.5
-103.391667,20.850000,464.8
-103.383333,20.850000,481.7
-103.375000,20.850000,471.3
-103.366667,20.850000,723.0
-103.358333,20.850000,889.9
-103.350000,20.850000,900.0
-103.341667,20.850000,831.3
-103.333333,20.850000,612.3
