lon,lat,vs30_ms
-84.208333,10.033333,432.7
-84.200000,10.033333,425.9
-84.191667,10.033333,439.9
-84.183333,10.033333,451.3
-84.175000,10.033333,477.2
-84.166667,10.033333,509.8
-84.158333,10.033333,496.0
-84.150000,10.033333,459.2
-84.141667,10.033333,470.0
-84.133333,10.033333,541.3
-84.125000,10.033333,616.3
-84.116667,10.033333,623.9
-84.108333,10.033333,598.8
-84.100000,10.033333,612.7
-84.091667,10.033333,625.8
-84.083333,10.033333,595.0
-84.075000,10.033333,563.1
-84.066667,10.033333,576.0
-84.058333,10.033333,584.6
-84.050000,10.033333,601.0
-84.041667,10.033333,667.3
-84.033333,10.033333,679.0
-84.025000,10.033333,587.5
-84.016667,10.033333,541.6
-84.008333,10.033333,527.5
-84.208333,10.025000,428.7
-84.200000,10.025000,439.2
-84.191667,10.025000,446.5
-84.183333,10.025000,458.9
-84.175000,10.025000,439.7
-84.166667,10.025000,447.3
-84.158333,10.025000,462.1
-84.150000,10.025000,478.4
-84.141667,10.025000,475.2
-84.133333,10.025000,482.1
-84.125000,10.025000,538.0
-84.116667,10.025000,574.9
-84.108333,10.025000,565.4
-84.100000,10.025000,572.4
-84.091667,10.025000,616.2
-84.083333,10.025000,626.5
-84.075000,10.025000,591.9
-84.066667,10.025000,597.5
-84.058333,10.025000,563.9
-84.050000,10.025000,542.2
-84.041667,10.025000,565.0
-84.033333,10.025000,548.4
-84.025000,10.025000,482.2
-84.016667,10.025000,441.0
-84.008333,10.025000,421.0
-84.208333,10.016667,432.8
-84.200000,10.016667,425.1
-84.191667,10.016667,437.1
-84.183333,10.016667,461.3
-84.175000,10.016667,466.3
-84.166667,10.016667,431.3
-84.158333,10.016667,412.9
-84.150000,10.016667,444.2
-84.141667,10.016667,466.0
-84.133333,10.016667,464.6
-84.125000,10.016667,470.4
-84.116667,10.016667,508.1
-84.108333,10.016667,519.8
-84.100000,10.016667,504.3
-84.091667,10.016667,552.5
-84.083333,10.016667,608.1
-84.075000,10.016667,604.6
-84.066667,10.016667,577.2
-84.058333,10.016667,523.5
-84.050000,10.016667,488.7
-84.041667,10.016667,461.7
-84.033333,10.016667,437.4
-84.025000,10.016667,432.0
-84.016667,10.016667,427.8
-84.008333,10.016667,442.6
-84.208333,10.008333,406.8
-84.200000,10.008333,407.7
-84.191667,10.008333,422.3
-84.183333,10.008333,434.5
-84.175000,10.008333,431.5
-84.166667,10.008333,438.3
-84.158333,10.008333,420.3
-84.150000,10.008333,407.5
-84.141667,10.008333,421.8
-84.133333,10.008333,442.1
-84.125000,10.008333,446.8
-84.116667,10.008333,464.0
-84.108333,10.008333,487.0
-84.100000,10.008333,465.3
-84.091667,10.008333,465.6
-84.083333,10.008333,527.0
-84.075000,10.008333,554.8
-84.066667,10.008333,531.2
-84.058333,10.008333,487.7
-84.050000,10.008333,435.1
-84.041667,10.008333,371.2
-84.033333,10.008333,433.1
-84.025000,10.008333,440.9
-84.016667,10.008333,420.4
-84.008333,10.008333,447.9
-84.208333,10.000000,377.5
-84.200000,10.000000,375.5
-84.191667,10.000000,392.2
-84.183333,10.000000,407.6
-84.175000,10.000000,424.1
-84.166667,10.000000,429.1
-84.158333,10.000000,421.4
-84.150000,10.000000,419.7
-84.141667,10.000000,434.3
-84.133333,10.000000,416.9
-84.125000,10.000000,403.6
-84.116667,10.000000,442.6
-84.108333,10.000000,473.1
-84.100000,10.000000,465.3
-84.091667,10.000000,428.5
-84.083333,10.000000,435.1
-84.075000,10.000000,462.1
-84.066667,10.000000,464.1
-84.058333,10.000000,457.2
-84.050000,10.000000,405.1
-84.041667,10.000000,353.2
-84.033333,10.000000,394.9
-84.025000,10.000000,436.9
-84.016667,10.000000,440.9
-84.008333,10.000000,463.1
-84.208333,9.991667,372.0
-84.200000,9.991667,387.5
-84.191667,9.991667,408.7
-84.183333,9.991667,422.9
-84.175000,9.991667,391.7
-84.166667,9.991667,404.0
-84.158333,9.991667,448.0
-84.150000,9.991667,474.3
-84.141667,9.991667,466.1
-84.133333,9.991667,400.2
-84.125000,9.991667,426.4
-84.116667,9.991667,456.6
-84.108333,9.991667,467.7
-84.100000,9.991667,462.2
-84.091667,9.991667,431.3
-84.083333,9.991667,399.9
-84.075000,9.991667,385.2
-84.066667,9.991667,394.5
-84.058333,9.991667,436.3
-84.050000,9.991667,423.6
-84.041667,9.991667,360.7
-84.033333,9.991667,328.7
-84.025000,9.991667,363.7
-84.016667,9.991667,423.0
-84.008333,9.991667,490.4
-84.208333,9.983333,350.9
-84.200000,9.983333,392.4
-84.191667,9.983333,425.3
-84.183333,9.983333,441.1
-84.175000,9.983333,433.9
-84.166667,9.983333,413.8
-84.158333,9.983333,435.5
-84.150000,9.983333,471.6
-84.141667,9.983333,496.7
-84.133333,9.983333,485.3
-84.125000,9.983333,460.9
-84.116667,9.983333,461.7
-84.108333,9.983333,474.2
-84.100000,9.983333,455.8
-84.091667,9.983333,439.3
-84.083333,9.983333,435.2
-84.075000,9.983333,394.5
-84.066667,9.983333,354.2
-84.058333,9.983333,426.9
-84.050000,9.983333,452.7
-84.041667,9.983333,416.7
-84.033333,9.983333,383.7
-84.025000,9.983333,379.8
-84.016667,9.983333,433.2
-84.008333,9.983333,484.3
-84.208333,9.975000,369.6
-84.200000,9.975000,350.2
-84.191667,9.975000,367.3
-84.183333,9.975000,383.8
-84.175000,9.975000,440.7
-84.166667,9.975000,426.1
-84.158333,9.975000,401.5
-84.150000,9.975000,433.2
-84.141667,9.975000,468.4
-84.133333,9.975000,461.5
-84.125000,9.975000,397.6
-84.116667,9.975000,423.6
-84.108333,9.975000,464.3
-84.100000,9.975000,443.5
-84.091667,9.975000,418.4
-84.083333,9.975000,427.1
-84.075000,9.975000,422.9
-84.066667,9.975000,363.3
-84.058333,9.975000,372.4
-84.050000,9.975000,435.2
-84.041667,9.975000,447.8
-84.033333,9.975000,438.0
-84.025000,9.975000,433.1
-84.016667,9.975000,450.0
-84.008333,9.975000,486.0
-84.208333,9.966667,355.4
-84.200000,9.966667,381.5
-84.191667,9.966667,418.2
-84.183333,9.966667,444.4
-84.175000,9.966667,466.6
-84.166667,9.966667,341.6
-84.158333,9.966667,335.5
-84.150000,9.966667,348.4
-84.141667,9.966667,398.5
-84.133333,9.966667,428.9
-84.125000,9.966667,369.0
-84.116667,9.966667,350.3
-84.108333,9.966667,429.0
-84.100000,9.966667,423.5
-84.091667,9.966667,382.9
-84.083333,9.966667,391.5
-84.075000,9.966667,406.6
-84.066667,9.966667,377.2
-84.058333,9.966667,366.1
-84.050000,9.966667,395.2
-84.041667,9.966667,421.9
-84.033333,9.966667,450.6
-84.025000,9.966667,456.9
-84.016667,9.966667,465.2
-84.008333,9.966667,500.4
-84.208333,9.958333,319.6
-84.200000,9.958333,343.6
-84.191667,9.958333,489.8
-84.183333,9.958333,556.4
-84.175000,9.958333,430.0
-84.166667,9.958333,425.3
-84.158333,9.958333,348.8
-84.150000,9.958333,337.2
-84.141667,9.958333,338.2
-84.133333,9.958333,419.4
-84.125000,9.958333,409.5
-84.116667,9.958333,393.4
-84.108333,9.958333,418.4
-84.100000,9.958333,410.9
-84.091667,9.958333,400.2
-84.083333,9.958333,387.4
-84.075000,9.958333,365.6
-84.066667,9.958333,377.9
-84.058333,9.958333,380.7
-84.050000,9.958333,362.0
-84.041667,9.958333,389.1
-84.033333,9.958333,448.5
-84.025000,9.958333,472.2
-84.016667,9.958333,469.3
-84.008333,9.958333,490.7
-84.208333,9.950000,327.6
-84.200000,9.950000,252.0
-84.191667,9.950000,412.6
-84.183333,9.950000,578.4
-84.175000,9.950000,546.2
-84.166667,9.950000,340.1
-84.158333,9.950000,402.4
-84.150000,9.950000,326.0
-84.141667,9.950000,388.4
-84.133333,9.950000,435.7
-84.125000,9.950000,424.3
-84.116667,9.950000,421.9
-84.108333,9.950000,414.5
-84.100000,9.950000,389.7
-84.091667,9.950000,364.9
-84.083333,9.950000,347.2
-84.075000,9.950000,376.2
-84.066667,9.950000,388.8
-84.058333,9.950000,341.1
-84.050000,9.950000,358.5
-84.041667,9.950000,423.6
-84.033333,9.950000,459.4
-84.025000,9.950000,452.8
-84.016667,9.950000,438.9
-84.008333,9.950000,469.9
-84.208333,9.941667,348.9
-84.200000,9.941667,371.5
-84.191667,9.941667,405.6
-84.183333,9.941667,428.8
-84.175000,9.941667,565.2
-84.166667,9.941667,507.4
-84.158333,9.941667,464.9
-84.150000,9.941667,361.8
-84.141667,9.941667,399.0
-84.133333,9.941667,422.3
-84.125000,9.941667,413.7
-84.116667,9.941667,398.6
-84.108333,9.941667,394.5
-84.100000,9.941667,376.6
-84.091667,9.941667,339.9
-84.083333,9.941667,353.6
-84.075000,9.941667,384.6
-84.066667,9.941667,365.7
-84.058333,9.941667,336.9
-84.050000,9.941667,372.6
-84.041667,9.941667,427.5
-84.033333,9.941667,436.3
-84.025000,9.941667,440.8
-84.016667,9.941667,439.7
-84.008333,9.941667,455.9
-84.208333,9.933333,513.8
-84.200000,9.933333,483.5
-84.191667,9.933333,503.5
-84.183333,9.933333,494.6
-84.175000,9.933333,574.9
-84.166667,9.933333,610.2
-84.158333,9.933333,566.0
-84.150000,9.933333,498.9
-84.141667,9.933333,410.0
-84.133333,9.933333,423.0
-84.125000,9.933333,409.5
-84.116667,9.933333,423.2
